NTD ID,Agency Name,Reporter Type,Reporting Module,Sponsor NTD ID,Sponsor Agency Name,Sponsor Reporter Type
40175,Puerto Rico Maritime Transport Authority ,Full Reporter: Operating,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter
40176,Atlanta Regional Commission,Planning Reporter,Urban,A0001,Atlanta Regional Commission,Group Plan Sponsor
40181,Henry County ,Small Systems Reporter,Urban,A0001,Atlanta Regional Commission,Group Plan Sponsor
40182,Municipality of Toa Baja,Small Systems Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter
40183,Municipality of San Sebastian,Small Systems Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter
40187,York County Council on Aging,Small Systems Reporter,Urban,4R07,South Carolina Department of Transportation,State Reporter
40190,"East Tennessee Human Resource Agency, Inc.",Small Systems Reporter,Urban,4R08,Tennessee Department of Transportation,State Reporter
40193,"City of Hinesville, Georgia",Small Systems Reporter,Urban,4R03,Georgia Department of Transportation,State Reporter
40194,Municipality of Mayaguez,Small Systems Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter
40195,Municipality of San Lorenzo,Small Systems Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter
40197,Municipality of Lares,Small Systems Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter
40198,Municipality of Dorado,Small Systems Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter
40199,Autonomous Municipality of Vega Alta,Small Systems Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter
40201,Municipality of Guaynabo,Small Systems Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter
40204,Mid-Cumberland Human Resource Agency,Small Systems Reporter,Urban,4R08,Tennessee Department of Transportation,State Reporter
40205,The County of Iredell,Small Systems Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter
40206,Berkeley Charleston Dorchester RTMA,Small Systems Reporter,Urban,4R07,South Carolina Department of Transportation,State Reporter
40209,Hoke County,Small Systems Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter
40210,Craven County,Small Systems Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter
40213,Autauga County Commission,Small Systems Reporter,Urban,4R01,Alabama Department of Transportation,State Reporter
40215,Union County,Small Systems Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter
40220,Pitt County,Small Systems Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter
40221,Gaston County,Small Systems Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter
40222,Wake County,Full Reporter: Operating,Urban,4R06,North Carolina Department of Transportation,State Reporter
40223,Cumberland County,Small Systems Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter
40224,Buncombe County,Full Reporter: Operating,Urban,4R06,North Carolina Department of Transportation,State Reporter
40225,Alamance County Transportation Authority,Small Systems Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter
40226,"Mountain Projects, Inc.",Small Systems Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter
40227,Onslow United Transit System,Small Systems Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter
40229,Henderson County,Small Systems Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter
40231,Orange County ,Small Systems Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter
40233,City of Salisbury ,Small Systems Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter
40234,Autonomous Municipality of Ponce,Small Systems Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter
40237,Lancaster County Council on Aging,Small Systems Reporter,Urban,4R07,South Carolina Department of Transportation,State Reporter
40241,City of Miramar ,Small Systems Reporter,Urban,4R02,Florida Department of Transportation,State Reporter
40244,"Spartanburg Regional Health Services, Inc.",Full Reporter: Operating,Urban,4R07,South Carolina Department of Transportation,State Reporter
40246,"Center for Pan Asian Community Services, Inc.",Small Systems Reporter,Urban,A0001,Atlanta Regional Commission,Group Plan Sponsor
40252,City Of Burlington,Small Systems Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter
40253,City of Coral Springs,Small Systems Reporter,Urban,A0006,Broward County Transit Division,Group Plan Sponsor
40257,City of Pompano Beach,Small Systems Reporter,Urban,A0006,Broward County Transit Division,Group Plan Sponsor
40265,North Central Alabama Regional Council of Governments,Full Reporter: Operating,Urban,4R01,Alabama Department of Transportation,State Reporter
40928,Baldwin County Commission,Full Reporter: Operating,Urban,4R01,Alabama Department of Transportation,State Reporter
40950,First Tennessee Human Resource Agency,Full Reporter: Operating,Urban,4R08,Tennessee Department of Transportation,State Reporter
41027,Bartow Transit,Small Systems Reporter,Urban,4R03,Georgia Department of Transportation,State Reporter
41092,Lowcountry Regional Transportation Authority,Small Systems Reporter,Urban,4R07,South Carolina Department of Transportation,State Reporter
4R01-40907,Blount County Commission,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R01-40926,Escambia County Commission,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R01-40960,Etowah County Commission,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R01-40963,Madison County Commission,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R01-40965,Cullman County Commission,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R01-40982,"H.EL.P., Inc. ",Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R01-40986,Dekalb County Commission,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R01-41000,Educational Center for Independence,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R01-41009,City of Guntersville,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R01-41076,St. Clair County Commission,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R01-41084,Alabama Tombigbee Regional Planning Commission,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R01-41089,City of Eufaula,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R01-41107,Chilton County Commission,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R01-41118,Birmingham Regional Paratransit Consortium,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R01-41125,Covington Area Transit System,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R01-41129,Pike Area Transit System,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R01-41173,Walker County Commission,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R01-41180,Jackson County Council on Aging,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R01-41188,Area Referral & Informtn Services for the Elderly,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R01-44926,West Alabama Rural Public Transportation,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R01-44949,Macon County Commission,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter
4R02-40207,"Good Wheels, Inc.",Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter
4R02-40920,Ride Solution,Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter
4R02-40923,Liberty County Board of County Commissioners,Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter
4R02-40968,Gulf County ARC,Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter
4R02-40999,Sumter County Board of County Commissioners,Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter
4R02-41037,"Suwannee River Economic Council, Inc.",Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter
4R02-41050,Suwannee Valley Transit Authority,Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter
4R02-41060,City of Key West Department of Transportation,Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter
4R02-41080,Marion County Senior Services,Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter
4R02-41091,"Calhoun County Senior Citizens Association, Inc.",Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter
4R02-41095,FDOT - vanpool,Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter
4R02-41114,Nassau Council on Aging,Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter
4R02-41148,Wakulla County Transportation,Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter
4R02-41153,Big Bend Transit,Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter
4R02-41170,Baker Council on Aging,Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter
4R02-41184,Levy County Board of County Commissioners,Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter
4R02-41186,"Tri-County Community Council, Inc",Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter
4R02-41194,Central Florida Regional Planning Council - Desoto,Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter
4R02-41198,"Jackson County Transportation, Inc.",Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter
4R02-44938,Central Florida Regional Planning Council,Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter
4R03-40903,Macon County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40904,Rabun County,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40905,Three Rivers Regional Commission,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40906,Ware County,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40908,Heard County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40910,Peach County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40912,Crisp County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40924,Warren County Commission Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40925,Pulaski County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40931,Baldwin County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40936,Wilkinson County Commission Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40940,Tift Transit System,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40945,Putnam County CommissionTransit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40946,Jones County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40951,Burke County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40956,Dodge County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40961,Lincoln County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40964,Cook County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40967,Lowndes County,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40977,Jefferson County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40985,Banks County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-40994,Habersham County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41007,Dade County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41008,Jenkins County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41012,Chattooga County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41016,Brooks County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41017,Dooly County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41019,Troup County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41021,Elbert County ,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41033,Towns County,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41035,City of Cedartown,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41036,Turner County ,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41040,Murray County Transportation System,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41041,Greene County Commission Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41046,Taliaferro County Board of Commissioners,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41055,McDuffie County Commission Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41057,Dawson County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41062,Hancock County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41065,Twiggs County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41074,Glascock County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41077,Taylor County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41078,Morgan County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41085,Haralson County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41086,Catoosa County,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41088,Forsyth County Public Transportation,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41099,Telfair County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41103,Wheeler County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41104,Talbot County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41108,Lower Chattahoochee Regional Transit Authority,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41112,Coastal Regional Commission,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41126,Pierce County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41128,Berrien County,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41133,Coweta County,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41138,Whitfield County W.T.S.,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41139,Columbia County CommissionTransit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41140,Clay County,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41142,Wayne County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41144,Hart County Public Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41145,Union County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41147,Bacon County,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41149,City of Americus,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41154,Jackson County,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41155,Social Circle Area Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41156,Wilcox County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41158,Lumpkin County ,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41168,Wilkes County Commission Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41171,Walker County,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41176,Crawford County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41177,Southwest Georgia RC,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41185,Thomas County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41190,Paulding County,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-41196,Bleckley County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-44936,Brantley County,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-44937,Ben HIll,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R03-44945,"North Georgia Community Action, Inc. ",Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter
4R04-40909,"Middle Kentucky River Area Development Council, Inc.",Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-40941,"Rural Transit Enterprises Coordinated, Inc.",Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-40948,Bluegrass Community Action Agency,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-40953,"Pennyrile Allied Community Services, Inc.",Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-40971,Licking Valley CAP,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-40972,Gateway Community Services Organization,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-40979,"KY River Foothills Development Council, Inc.",Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-40997,Owen County Fiscal Court,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-41006,Sandy Valley Transportation Services,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-41013,Paducah Transit Authority,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-41023,Daniel Boone Development Council,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-41032,Maysville Transit System,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-41053,Murray-Calloway County Transit Authority,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-41083,Glasgow Transit System,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-41090,"Louisville WHEELS Transportation, Inc",Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-41094,Northeast KY Area Development Council,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-41098,"Harlan County Community Action Agency, Inc.",Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-41120,Frankfort Transit System,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-41165,Central Kentucky Community Action Council,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-41178,"Leslie, Knott, Letcher & Perry Community Action",Reduced Asset Reporter,Asset,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-41179,Fulton County Transit Authority,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-44939,Carroll County Wellness Transit,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-44944,Scottsville Transit,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter
4R04-44973,Western Kentucky University - Topper Transit,Reduced Asset Reporter,Asset,4R04,Kentucky Transportation Cabinet,State Reporter
4R05-40916,"United Community Action Committee, Inc.",Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter
4R05-40922,"South Central Community Action Agency, Inc.",Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter
4R05-40955,Hinds County Human Resource Agency,Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter
4R05-40957,N-Route,Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter
4R05-40969,Madison County Citizens Services Agency,Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter
4R05-40987,Copiah County Human Resource Agency,Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter
4R05-41024,Mississippi Valley State University Mass Transit,Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter
4R05-41030,SMART Starkville-MSU Area Rapid Transit,Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter
4R05-41039,Northeast Mississippi Community Services,Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter
4R05-41044,Community Development Inc.,Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter
4R05-41051,"Five County Child Development Program, Inc.",Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter
4R05-41052,City of Oxford,Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter
4R05-41096,Claiborne County Human Resource Agency,Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter
4R05-41121,Natchez Transit System,Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter
4R05-41183,"Aaron E. Henry Community Health Services Center,In",Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter
4R05-41192,"Bolivar County Council On Aging, Inc.",Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter
4R05-44928,"DJ Transit, Inc.",Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter
4R05-44946,"Mount Zion Economic Community Center, Inc.",Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter
4R05-44948,Noxubee County Human Resource Agency,Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter
4R06-40913,Graham County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-40915,Duplin County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-40918,Wilkes Transportation Authority,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-40921,Randolph County Senior Adult Association Inc.,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-40929,Rockingham County Council on Aging,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-40933,Sampson County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-40934,Polk County Transportation Authority,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-40938,"Pender Adult Services, Inc.",Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-40942,Lincoln County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-40943,Johnston Co. Council on Aging Inc.,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-40944,Carteret County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-40947,Gates County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-40959,Washington County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-40976,Madison County Transportation Authority,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-40983,Rutherford County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-40984,Western Carolina Community Action,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-40990,Martin County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-40996,Caswell County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41004,Chatham Transit Network,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41010,Person County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41028,Scotland County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41029,Ashe County Transportation Authority Inc,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41031,Greene County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41034,"Beaufort County Developmental Center, Inc.",Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41038,Hyde County Private Non-Profit Transp. Corp. Inc.,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41043,Mitchell County Transportation Authority,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41045,Dare County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41048,Kerr Area Transportation Authority,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41058,Brunswick Transit System Inc.,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41064,Moore County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41066,Swain County  Focal Point on Aging Inc,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41069,Cherokee County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41082,Transp. Administration of Cleveland County. Inc,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41111,Albemarle Regional Health Services,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41113,Anson County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41115,Transylvania County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41119,Harnett County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41124,Richmond Interagency Transportation Inc.,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41127,AppalCart,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41130,Avery County Transportation Authority,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41131,Choanoke Public Transportation Authority,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41134,"Yadkin Valley Economic Development District, Inc.",Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41137,Alleghany County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41143,Yancey County Transportation Authority,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41150,Lee County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41160,Clay County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41162,Lenoir County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41166,Bladen County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41167,Jackson County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41172,Columbus County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41181,Stanly County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41187,Robeson County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-41191,Macon County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-44931,"City of Wilson, NC",Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-44947,County of Hyde,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R06-44958,North Carolina Department of Transportation -- Ferry Division,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter
4R07-40235,"Aiken Area Council on Aging, Inc.",Rural Reporter,Rural,4R07,South Carolina Department of Transportation,State Reporter
4R07-40952,Williamsburg County Transit System,Rural Reporter,Rural,4R07,South Carolina Department of Transportation,State Reporter
4R07-40974,Bamberg County Office On Aging,Rural Reporter,Rural,4R07,South Carolina Department of Transportation,State Reporter
4R07-40988,Edgefield County Senior Citizens Council,Rural Reporter,Rural,4R07,South Carolina Department of Transportation,State Reporter
