State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,State Name,State,Subrecipient Type,FY Start Date,FY End Date,Event Type,Location,Reportable Events,Major Safety and Security Events,Non Major Events (non-injury),Operator Injuries,Other Transit Worker Injuries,Other Injuries,Total Injuries,Operator Fatalities,Other Transit Worker Fatalities,Other Fatalities,Total Fatalities,Notes
,40240,City of Lighthouse Point,Reduced Reporter,Urban,,,,,,,,1,,,,,,1,,,,0,
,40241,City of Miramar ,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,40246,"Center for Pan Asian Community Services, Inc.",Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,40248,Town of Hillsboro Beach,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,40249,City of Hallandale Beach,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,40250,City of Lauderdale Lakes,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,40251,City of Pembroke Pines,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,40252,City Of Burlington,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,40253,City of Coral Springs,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,40254,City of Lauderhill,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,40255,City of Hollywood,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,40256,City of Margate,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,40257,City of Pompano Beach,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,40260,Town of Lauderdale-By-The-Sea,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,40261,City of Dania Beach,Reduced Reporter,Urban,,,,,,,,1,,,,,,0,,,,0,
,40262,Town of Davie,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,40263,City of West Park,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,41027,Bartow Transit,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,41092,Lowcountry Regional Transportation Authority,Reduced Reporter,Urban,,,,,,,,4,,,,,,1,,,,0,
,41157,County of Citrus,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,44907,Catawba Indian Nation,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,44913,Eastern Band of Cherokee Indians,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,44919,Poarch Band of Creek Indians,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,44925,Mississippi Band of Choctaw Indians,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,44932,City of Tamarac,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
4R01,4R01-40907,Blount County Commission,Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R01,4R01-40926,Escambia County Commission,Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R01,4R01-40960,Etowah County Commission,Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R01,4R01-40963,Madison County Commission,Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R01,4R01-40965,Cullman County Commission,Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R01,4R01-40982,"H.EL.P., Inc. ",Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R01,4R01-40986,Dekalb County Commission,Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R01,4R01-41000,Educational Center for Independence,Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R01,4R01-41009,City of Guntersville,Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R01,4R01-41076,St. Clair County Commission,Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R01,4R01-41084,Alabama Tombigbee Regional Planning Commission,Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R01,4R01-41089,City of Eufaula,Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R01,4R01-41107,Chilton County Commission,Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R01,4R01-41118,Birmingham Regional Paratransit Consortium,Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R01,4R01-41125,Covington Area Transit System,Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R01,4R01-41129,Pike Area Transit System,Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R01,4R01-41173,Walker County Commission,Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R01,4R01-41180,Jackson County Council on Aging,Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R01,4R01-41188,Area Referral & Informtn Services for the Elderly,Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R01,4R01-44926,West Alabama Rural Public Transportation,Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R01,4R01-44949,Macon County Commission,Rural Reporter,Rural,Alabama Department of Transportation,AL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R02,4R02-40207,"Good Wheels, Inc.",Rural Reporter,Rural,Florida Department of Transportation,FL,Rural General Public Transit,,,,,19,,,,,,6,,,,0,
4R02,4R02-40920,Ride Solution,Rural Reporter,Rural,Florida Department of Transportation,FL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R02,4R02-40923,Liberty County Board of County Commissioners,Rural Reporter,Rural,Florida Department of Transportation,FL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R02,4R02-40968,Gulf County ARC,Rural Reporter,Rural,Florida Department of Transportation,FL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R02,4R02-40999,Sumter County Board of County Commissioners,Rural Reporter,Rural,Florida Department of Transportation,FL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R02,4R02-41037,"Suwannee River Economic Council, Inc.",Rural Reporter,Rural,Florida Department of Transportation,FL,Rural General Public Transit,,,,,1,,,,,,1,,,,0,
4R02,4R02-41050,Suwannee Valley Transit Authority,Rural Reporter,Rural,Florida Department of Transportation,FL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R02,4R02-41060,City of Key West Department of Transportation,Rural Reporter,Rural,Florida Department of Transportation,FL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R02,4R02-41080,Marion County Senior Services,Rural Reporter,Rural,Florida Department of Transportation,FL,Rural General Public Transit,,,,,1,,,,,,1,,,,0,
4R02,4R02-41091,"Calhoun County Senior Citizens Association, Inc.",Rural Reporter,Rural,Florida Department of Transportation,FL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R02,4R02-41095,FDOT - vanpool,Rural Reporter,Rural,Florida Department of Transportation,FL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R02,4R02-41114,Nassau Council on Aging,Rural Reporter,Rural,Florida Department of Transportation,FL,Rural General Public Transit,,,,,1,,,,,,1,,,,0,
4R02,4R02-41148,Wakulla County Transportation,Rural Reporter,Rural,Florida Department of Transportation,FL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R02,4R02-41153,Big Bend Transit,Rural Reporter,Rural,Florida Department of Transportation,FL,Rural General Public Transit,,,,,1,,,,,,1,,,,0,
4R02,4R02-41170,Baker Council on Aging,Rural Reporter,Rural,Florida Department of Transportation,FL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R02,4R02-41184,Levy County Board of County Commissioners,Rural Reporter,Rural,Florida Department of Transportation,FL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R02,4R02-41186,"Tri-County Community Council, Inc",Rural Reporter,Rural,Florida Department of Transportation,FL,Rural General Public Transit,,,,,2,,,,,,2,,,,0,
4R02,4R02-41194,Central Florida Regional Planning Council - Desoto,Rural Reporter,Rural,Florida Department of Transportation,FL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R02,4R02-41198,"Jackson County Transportation, Inc.",Rural Reporter,Rural,Florida Department of Transportation,FL,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R02,4R02-44938,Central Florida Regional Planning Council,Rural Reporter,Rural,Florida Department of Transportation,FL,Rural General Public Transit,,,,,1,,,,,,1,,,,0,
4R03,4R03-40903,Macon County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-40904,Rabun County,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-40905,Three Rivers Regional Commission,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,1,,,,,,1,,,,0,
4R03,4R03-40906,Ware County,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-40908,Heard County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-40910,Peach County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-40912,Crisp County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-40924,Warren County Commission Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-40925,Pulaski County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-40931,Baldwin County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-40936,Wilkinson County Commission Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-40940,Tift Transit System,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-40945,Putnam County CommissionTransit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-40946,Jones County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-40951,Burke County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-40956,Dodge County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-40961,Lincoln County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-40964,Cook County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-40967,Lowndes County,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-40977,Jefferson County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-40985,Banks County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-40994,Habersham County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41007,Dade County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41008,Jenkins County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41012,Chattooga County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41016,Brooks County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41017,Dooly County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41019,Troup County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41021,Elbert County ,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41033,Towns County,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41035,City of Cedartown,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41036,Turner County ,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41040,Murray County Transportation System,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41041,Greene County Commission Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,1,,,,,,2,,,,0,
4R03,4R03-41046,Taliaferro County Board of Commissioners,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41055,McDuffie County Commission Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41057,Dawson County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41062,Hancock County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41065,Twiggs County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41074,Glascock County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41077,Taylor County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41078,Morgan County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41085,Haralson County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41086,Catoosa County,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41088,Forsyth County Public Transportation,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41099,Telfair County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41103,Wheeler County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41104,Talbot County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41108,Lower Chattahoochee Regional Transit Authority,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41112,Coastal Regional Commission,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,4,,,,,,0,,,,0,
4R03,4R03-41126,Pierce County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41128,Berrien County,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41133,Coweta County,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41138,Whitfield County W.T.S.,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41139,Columbia County CommissionTransit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41140,Clay County,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41142,Wayne County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41144,Hart County Public Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41145,Union County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41147,Bacon County,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41149,City of Americus,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41154,Jackson County,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,1,,,,,,0,,,,0,
4R03,4R03-41155,Social Circle Area Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41156,Wilcox County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41158,Lumpkin County ,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41168,Wilkes County Commission Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41171,Walker County,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41176,Crawford County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,1,,,,,,0,,,,0,
4R03,4R03-41177,Southwest Georgia RC,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,2,,,,,,1,,,,1,
4R03,4R03-41185,Thomas County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,2,,,,,,0,,,,0,
4R03,4R03-41190,Paulding County,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-41196,Bleckley County Transit,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-44936,Brantley County,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-44937,Ben HIll,Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R03,4R03-44945,"North Georgia Community Action, Inc. ",Rural Reporter,Rural,Georgia Department of Transportation,GA,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R04,4R04-40909,"Middle Kentucky River Area Development Council, Inc.",Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R04,4R04-40941,"Rural Transit Enterprises Coordinated, Inc.",Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,4,,,,,,1,,,,0,
4R04,4R04-40948,Bluegrass Community Action Agency,Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,2,,,,,,0,,,,0,
4R04,4R04-40953,"Pennyrile Allied Community Services, Inc.",Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R04,4R04-40971,Licking Valley CAP,Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R04,4R04-40972,Gateway Community Services Organization,Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R04,4R04-40979,"KY River Foothills Development Council, Inc.",Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R04,4R04-40997,Owen County Fiscal Court,Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R04,4R04-41006,Sandy Valley Transportation Services,Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,2,,,,,,0,,,,0,
4R04,4R04-41013,Paducah Transit Authority,Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,1,,,,,,0,,,,0,
4R04,4R04-41023,Daniel Boone Development Council,Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,1,,,,,,4,,,,0,
4R04,4R04-41032,Maysville Transit System,Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R04,4R04-41053,Murray-Calloway County Transit Authority,Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R04,4R04-41083,Glasgow Transit System,Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R04,4R04-41090,"Louisville WHEELS Transportation, Inc",Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R04,4R04-41094,Northeast KY Area Development Council,Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R04,4R04-41098,"Harlan County Community Action Agency, Inc.",Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R04,4R04-41120,Frankfort Transit System,Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,1,,,,,,1,,,,0,
4R04,4R04-41165,Central Kentucky Community Action Council,Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,1,,,,,,3,,,,0,
4R04,4R04-41179,Fulton County Transit Authority,Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,3,,,,,,1,,,,2,
4R04,4R04-44939,Carroll County Wellness Transit,Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R04,4R04-44944,Scottsville Transit,Rural Reporter,Rural,Kentucky Transportation Cabinet,KY,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R05,4R05-40916,"United Community Action Committee, Inc.",Rural Reporter,Rural,Mississippi Department of Transportation,MS,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R05,4R05-40922,"South Central Community Action Agency, Inc.",Rural Reporter,Rural,Mississippi Department of Transportation,MS,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R05,4R05-40955,Hinds County Human Resource Agency,Rural Reporter,Rural,Mississippi Department of Transportation,MS,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R05,4R05-40957,N-Route,Rural Reporter,Rural,Mississippi Department of Transportation,MS,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R05,4R05-40969,Madison County Citizens Services Agency,Rural Reporter,Rural,Mississippi Department of Transportation,MS,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R05,4R05-40987,Copiah County Human Resource Agency,Rural Reporter,Rural,Mississippi Department of Transportation,MS,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R05,4R05-41024,Mississippi Valley State University Mass Transit,Rural Reporter,Rural,Mississippi Department of Transportation,MS,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R05,4R05-41030,SMART Starkville-MSU Area Rapid Transit,Rural Reporter,Rural,Mississippi Department of Transportation,MS,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R05,4R05-41039,Northeast Mississippi Community Services,Rural Reporter,Rural,Mississippi Department of Transportation,MS,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R05,4R05-41044,Community Development Inc.,Rural Reporter,Rural,Mississippi Department of Transportation,MS,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R05,4R05-41051,"Five County Child Development Program, Inc.",Rural Reporter,Rural,Mississippi Department of Transportation,MS,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R05,4R05-41052,City of Oxford,Rural Reporter,Rural,Mississippi Department of Transportation,MS,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R05,4R05-41096,Claiborne County Human Resource Agency,Rural Reporter,Rural,Mississippi Department of Transportation,MS,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R05,4R05-41121,Natchez Transit System,Rural Reporter,Rural,Mississippi Department of Transportation,MS,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R05,4R05-41183,"Aaron E. Henry Community Health Services Center,In",Rural Reporter,Rural,Mississippi Department of Transportation,MS,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R05,4R05-41192,"Bolivar County Council On Aging, Inc.",Rural Reporter,Rural,Mississippi Department of Transportation,MS,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R05,4R05-44928,"DJ Transit, Inc.",Rural Reporter,Rural,Mississippi Department of Transportation,MS,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R05,4R05-44946,"Mount Zion Economic Community Center, Inc.",Rural Reporter,Rural,Mississippi Department of Transportation,MS,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R05,4R05-44948,Noxubee County Human Resource Agency,Rural Reporter,Rural,Mississippi Department of Transportation,MS,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R06,4R06-40913,Graham County,Rural Reporter,Rural,North Carolina Department of Transportation,NC,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
4R06,4R06-40915,Duplin County,Rural Reporter,Rural,North Carolina Department of Transportation,NC,Rural General Public Transit,,,,,0,,,,,,0,,,,0,
