Agency NTD ID,Agency Name,Agency Reporter Type,Agency Reporting Module,Sponsor NTD ID,Sponsor Agency Name,Sponsor Reporter Type,Row Number
30183,Tri River Transit,Rural Reporter,Rural,3R05,West Virginia Department of Transportation,State Reporter,410
30184,Blackstone Area Bus Service,Rural Reporter,Rural,3R06,Virginia Department of Rail and Public Transportation,State Reporter,411
30185,Crawford Area Transportation Authority,Rural Reporter,Rural,3R04,Pennsylvania Department of Transportation,State Reporter,412
30186,"The County Commissioners of Caroline County, Maryland",Rural Reporter,Rural,3R03,Maryland Department of Transportation,State Reporter,413
30190,"Preston County Sr. Cit, Inc. ",Rural Reporter,Rural,3R05,West Virginia Department of Transportation,State Reporter,414
30192,Queen Anne's County Department of Aging,Reduced Reporter,Urban,3R03,Maryland Department of Transportation,State Reporter,415
30194,Mid-County Transit Authority,Rural Reporter,Rural,3R04,Pennsylvania Department of Transportation,State Reporter,416
30196,Area Transportation Authority of North Central PA,Rural Reporter,Rural,3R04,Pennsylvania Department of Transportation,State Reporter,417
30198,City of Suffolk,Reduced Reporter,Urban,3R06,Virginia Department of Rail and Public Transportation,State Reporter,418
30199,New River Transit Authority,Reduced Reporter,Urban,3R05,West Virginia Department of Transportation,State Reporter,419
30200,City of Radford,Reduced Reporter,Urban,3R06,Virginia Department of Rail and Public Transportation,State Reporter,420
30201,City of Baltimore,Full Reporter,Urban,3R03,Maryland Department of Transportation,State Reporter,421
30203,York County,Reduced Reporter,Urban,3R06,Virginia Department of Rail and Public Transportation,State Reporter,422
30204,Colonial Williamsburg Foundation,Reduced Reporter,Urban,3R06,Virginia Department of Rail and Public Transportation,State Reporter,423
30205,"Transit Management of Central Maryland, Inc.",Full Reporter,Urban,3R03,Maryland Department of Transportation,State Reporter,424
30989,Central Shenandoah Planning District Commission,Reduced Reporter,Urban,3R06,Virginia Department of Rail and Public Transportation,State Reporter,425
30991,Wood County Senior Citizens Association,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,426
30993,Wirt County Committee on Aging & Family Services,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,427
30994,Webster County Senior Citizens,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,428
30996,Summers County Council on Aging,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,429
30997,Senior Life Services of Morgan County,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,430
30998,Ritchie County Integrated Family Services,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,431
30999,Raleigh County Community Action Association,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,432
31000,Putnam County Aging Program,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,433
31001,Pocahontas County Senior Citizens,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,434
31002,Neighbor Network/Pleasants County Senior Services,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,435
31003,Pendleton Senior & Family Services,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,436
31005,"McDowell County Commission on Aging, Inc.",Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,437
31006,Marion County Senior Citizens,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,438
31007,"Logan-Mingo Area Mental Health, Inc.",Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,439
31008,Lewis County Senior Citizens Center,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,440
31009,Kanawha Valley Senior Services,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,441
31010,Jefferson County Council on Aging,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,442
31011,Harrison County Senior Citizens Center,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,443
31012,Hancock County Senior Services,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,444
31014,Friends of Hansford Center,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,445
31015,Family Service Upper Ohio Valley,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,446
31016,Council on Aging (Wyoming County),Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,447
31017,Council of Senior Citizens of Gilmer County,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,448
31018,Berkeley Senior Services,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,449
31019,Community Action of South Eastern WV (CASE),Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,450
31021,"Christian Help, Inc. of Mingo County",Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,451
31022,"CHANGE, Inc.",Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,452
31023,"Central WV Community Action, Inc.",Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,453
31024,Braxton County Senior Citizens Center,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,454
31025,Greensville Emporia Transit System,Rural Reporter,Rural,3R06,Virginia Department of Rail and Public Transportation,State Reporter,455
31028,"Allied Coordinated Transportation Services, Inc.",Rural Reporter,Rural,3R04,Pennsylvania Department of Transportation,State Reporter,456
31029,"Blair Senior Services, Inc.",Rural Reporter,Rural,3R04,Pennsylvania Department of Transportation,State Reporter,457
31030,"Bucks County Transport, Inc.",Reduced Asset Reporter,Asset,3R04,Pennsylvania Department of Transportation,State Reporter,458
31031,"Call-A-Ride Service, Inc.",Rural Reporter,Rural,3R04,Pennsylvania Department of Transportation,State Reporter,459
31032,Clarion County,Rural Reporter,Rural,3R04,Pennsylvania Department of Transportation,State Reporter,460
31033,"Community Transit of Delaware County, Inc.",Reduced Asset Reporter,Asset,3R04,Pennsylvania Department of Transportation,State Reporter,461
31034,Forest County Transportation,Rural Reporter,Rural,3R04,Pennsylvania Department of Transportation,State Reporter,462
31035,Wayne County Area Agency on Aging,Rural Reporter,Rural,3R04,Pennsylvania Department of Transportation,State Reporter,463
31036,"STEP, Inc.",Rural Reporter,Rural,3R04,Pennsylvania Department of Transportation,State Reporter,464
31037,"Suburban Transit Network, Inc.",Reduced Asset Reporter,Asset,3R04,Pennsylvania Department of Transportation,State Reporter,465
31038,Pike County,Rural Reporter,Rural,3R04,Pennsylvania Department of Transportation,State Reporter,466
31039,Huntingdon-Bedford-Fulton Area Agency on Aging,Rural Reporter,Rural,3R04,Pennsylvania Department of Transportation,State Reporter,467
31040,Greene County - PA,Rural Reporter,Rural,3R04,Pennsylvania Department of Transportation,State Reporter,468
31041,County of Butler,Rural Reporter,Rural,3R04,Pennsylvania Department of Transportation,State Reporter,469
31042,Centre County Transportation,Rural Reporter,Rural,3R04,Pennsylvania Department of Transportation,State Reporter,470
31043,Rover Community Transportation,Reduced Asset Reporter,Asset,3R04,Pennsylvania Department of Transportation,State Reporter,471
31044,Somerset County,Rural Reporter,Rural,3R04,Pennsylvania Department of Transportation,State Reporter,472
31045,Susquehanna County Commissioners,Rural Reporter,Rural,3R04,Pennsylvania Department of Transportation,State Reporter,473
31046,"Commission On Aging Family Services Inc., The",Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,474
31047,Raleigh County Commission on Aging,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,475
31048,"Greenbrier Co. Committee on Aging, Inc.",Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,476
31049,Hardy County Committee on Aging Inc,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,477
31050,Council of Senior Tyler Countians Inc,Reduced Asset Reporter,Asset,3R05,West Virginia Department of Transportation,State Reporter,478
40010,City of Gastonia,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,479
40021,City of Albany ,Full Reporter,Urban,4R03,Georgia Department of Transportation,State Reporter,480
40023,Augusta Richmond County Transit Department,Full Reporter,Urban,4R03,Georgia Department of Transportation,State Reporter,481
40024,Columbus Consolidated Government,Reduced Reporter,Urban,4R03,Georgia Department of Transportation,State Reporter,482
40047,Athens-Clarke County Unified Government,Full Reporter,Urban,4R03,Georgia Department of Transportation,State Reporter,483
40056,Pee Dee Regional Transportation Authority,Reduced Reporter,Urban,4R07,South Carolina Department of Transportation,State Reporter,484
40058,City of Rome ,Full Reporter,Urban,4R03,Georgia Department of Transportation,State Reporter,485
40060,City of Hattiesburg,Reduced Reporter,Urban,4R05,Mississippi Department of Transportation,State Reporter,486
40064,East Alabama Regional Planning and Development Commission,Reduced Reporter,Urban,4R01,Alabama Department of Transportation,State Reporter,487
40068,Northwest Alabama Council of Local Governments,Full Reporter,Urban,4R01,Alabama Department of Transportation,State Reporter,488
40073,Lee-Russell Council of Governments,Reduced Reporter,Urban,4R01,Alabama Department of Transportation,State Reporter,489
40081,City of Anderson ,Reduced Reporter,Urban,4R07,South Carolina Department of Transportation,State Reporter,490
40082,County of Douglas,Full Reporter,Urban,A0028,Atlanta-Region Transit Link Authority,Group Plan Sponsor,491
40086,Metropolitan Bus Authority,Full Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,492
40095,City of Greenville,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,493
40096,City of Rocky Mount,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,494
40100,Santee Wateree Regional Transportation Authority,Full Reporter,Urban,4R07,South Carolina Department of Transportation,State Reporter,495
40101,Spartanburg Transit System,Reduced Reporter,Urban,4R07,South Carolina Department of Transportation,State Reporter,496
40103,Wiregrass Transit Authority,Reduced Reporter,Urban,4R01,Alabama Department of Transportation,State Reporter,497
40112,City of San Juan,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,498
40114,Municipality of Aguada,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,499
40115,Municipality of Caguas ,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,500
40117,Municipality of Vega Baja,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,501
40121,Municipality of Hormigueros,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,502
40122,Municipality of Cayey,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,503
40123,Municipality of Gurabo,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,504
40124,Municipality of Cidra,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,505
40125,Municipality of Carolina,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,506
40126,Municipality of Humacao,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,507
40130,Macon-Bibb County Transit Authority,Reduced Reporter,Urban,4R03,Georgia Department of Transportation,State Reporter,508
40131,Davidson County ,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,509
40132,Goldsboro-Wayne Transportation Authority,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,510
40133,Guilford County ,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,511
40137,Municipality of Bayamon,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,512
40138,Gwinnett County Board of Commissioners,Full Reporter,Urban,A0028,Atlanta-Region Transit Link Authority,Group Plan Sponsor,513
40143,Town of Cary,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,514
40144,City of Gainesville,Reduced Reporter,Urban,4R03,Georgia Department of Transportation,State Reporter,515
40145,Municipality of Manati,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,516
40150,Municipality of Barceloneta,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,517
40151,Municipality of Hatillo,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,518
40160,Municipality of Camuy,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,519
40161,Cherokee County Board of Commissioners,Reduced Reporter,Urban,4R03,Georgia Department of Transportation,State Reporter,520
40163,Municipality of Catano,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,521
40164,Municipality of Fajardo,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,522
40165,Municipality of Juncos,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,523
40166,City of Jacksonville,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,524
40167,City of Concord,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,525
40172,Western Piedmont Regional Transit Authority ,Full Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,526
40174,Municipality of Yauco,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,527
40175,Puerto Rico Maritime Transport Authority ,Full Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,528
40181,Henry County ,Reduced Reporter,Urban,A0001,Atlanta Regional Commission,Group Plan Sponsor,529
40182,Municipality of Toa Baja,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,530
40183,Municipality of San Sebastian,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,531
40187,York County Council on Aging,Reduced Reporter,Urban,4R07,South Carolina Department of Transportation,State Reporter,532
40190,"East Tennessee Human Resource Agency, Inc.",Reduced Reporter,Urban,4R08,Tennessee Department of Transportation,State Reporter,533
40193,"City of Hinesville, Georgia",Reduced Reporter,Urban,4R03,Georgia Department of Transportation,State Reporter,534
40194,Municipality of Mayaguez,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,535
40195,Municipality of San Lorenzo,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,536
40197,Municipality of Lares,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,537
40198,Municipality of Dorado,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,538
40199,Autonomous Municipality of Vega Alta,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,539
40201,Municipality of Guaynabo,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,540
40204,Mid-Cumberland Human Resource Agency,Reduced Reporter,Urban,4R08,Tennessee Department of Transportation,State Reporter,541
40205,The County of Iredell,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,542
40206,Berkeley Charleston Dorchester RTMA,Reduced Reporter,Urban,4R07,South Carolina Department of Transportation,State Reporter,543
40209,Hoke County,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,544
40210,Craven County,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,545
40213,Autauga County Commission,Reduced Reporter,Urban,4R01,Alabama Department of Transportation,State Reporter,546
40214,Cabarrus County ,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,547
40215,Union County,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,548
40220,Pitt County,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,549
40221,Gaston County,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,550
40222,Wake County,Full Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,551
40223,Cumberland County,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,552
40224,Buncombe County,Full Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,553
40225,Alamance County Transportation Authority,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,554
40226,"Mountain Projects, Inc.",Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,555
40227,Onslow United Transit System,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,556
40229,Henderson County,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,557
40231,Orange County ,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,558
40233,City of Salisbury ,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,559
40234,Autonomous Municipality of Ponce,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,560
40235,"Aiken Area Council on Aging, Inc.",Rural Reporter,Rural,4R07,South Carolina Department of Transportation,State Reporter,561
40237,Lancaster County Council on Aging,Reduced Reporter,Urban,4R07,South Carolina Department of Transportation,State Reporter,562
40244,"Spartanburg Regional Health Services, Inc.",Full Reporter,Urban,4R07,South Carolina Department of Transportation,State Reporter,563
40246,"Center for Pan Asian Community Services, Inc.",Reduced Reporter,Urban,A0001,Atlanta Regional Commission,Group Plan Sponsor,564
40252,City Of Burlington,Reduced Reporter,Urban,4R06,North Carolina Department of Transportation,State Reporter,565
40265,North Central Alabama Regional Council of Governments,Full Reporter,Urban,4R01,Alabama Department of Transportation,State Reporter,566
40268,Municipality of Ciales,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,567
40269,Municipality of Añasco,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,568
40270,City of Rock Hill,Reduced Reporter,Urban,4R07,South Carolina Department of Transportation,State Reporter,569
40272,Civic Volunteer Organization of Barefoot Bay,Reduced Reporter,Urban,A0027,Brevard Board of County Commissioners,Group Plan Sponsor,570
40273,Brevard Alzheimer's Foundation Inc.,Reduced Reporter,Urban,A0027,Brevard Board of County Commissioners,Group Plan Sponsor,571
40903,Macon County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,572
40904,Rabun County,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,573
40905,Three Rivers Regional Commission,Reduced Reporter,Urban,4R03,Georgia Department of Transportation,State Reporter,574
40907,Blount County Commission,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter,575
40908,Heard County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,576
40909,"Middle Kentucky River Area Development Council, Inc.",Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter,577
40910,Peach County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,578
40912,Crisp County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,579
40913,Graham County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,580
40915,Duplin County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,581
40918,Wilkes Transportation Authority,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,582
40920,Ride Solution,Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter,583
40921,Randolph County Senior Adult Association Inc.,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,584
40922,"South Central Community Action Agency, Inc.",Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter,585
40923,Liberty County Board of County Commissioners,Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter,586
40924,Warren County Commission Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,587
40925,Pulaski County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,588
40926,Escambia County Commission,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter,589
40928,Baldwin County Commission,Full Reporter,Urban,4R01,Alabama Department of Transportation,State Reporter,590
40929,Rockingham County Council on Aging,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,591
40931,Baldwin County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,592
40933,Sampson County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,593
40934,Polk County Transportation Authority,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,594
40936,Wilkinson County Commission Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,595
40938,"Pender Adult Services, Inc.",Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,596
40941,"Rural Transit Enterprises Coordinated, Inc.",Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter,597
40942,Lincoln County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,598
40943,Johnston Co. Council on Aging Inc.,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,599
40944,Carteret County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,600
40945,Putnam County CommissionTransit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,601
40946,Jones County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,602
40947,Gates County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,603
40948,Bluegrass Community Action Agency,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter,604
40950,First Tennessee Human Resource Agency,Full Reporter,Urban,4R08,Tennessee Department of Transportation,State Reporter,605
40951,Burke County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,606
40952,Williamsburg County Transit System,Rural Reporter,Rural,4R07,South Carolina Department of Transportation,State Reporter,607
40953,"Pennyrile Allied Community Services, Inc.",Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter,608
40954,South Central Tennessee Development District,Rural Reporter,Rural,4R08,Tennessee Department of Transportation,State Reporter,609
40955,Hinds County Human Resource Agency,Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter,610
40956,Dodge County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,611
40957,N-Route,Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter,612
40958,Municipality of Orocovis,Reduced Reporter,Urban,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,613
40959,Washington County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,614
40960,Etowah County Commission,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter,615
40961,Lincoln County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,616
40963,Madison County Commission,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter,617
40965,Cullman County Commission,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter,618
40968,Gulf County ARC,Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter,619
40969,Madison County Citizens Services Agency,Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter,620
40971,Licking Valley CAP,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter,621
40972,Gateway Community Services Organization,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter,622
40974,Bamberg County Office On Aging,Rural Reporter,Rural,4R07,South Carolina Department of Transportation,State Reporter,623
40976,Madison County Transportation Authority,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,624
40977,Jefferson County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,625
40978,Upper-Cumberland Human Resource Agency ,Rural Reporter,Rural,4R08,Tennessee Department of Transportation,State Reporter,626
40979,"KY River Foothills Development Council, Inc.",Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter,627
40982,"H.EL.P., Inc. ",Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter,628
40983,Rutherford County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,629
40984,Western Carolina Community Action,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,630
40985,Banks County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,631
40986,Dekalb County Commission,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter,632
40987,Copiah County Human Resource Agency,Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter,633
40988,Edgefield County Senior Citizens Council,Rural Reporter,Rural,4R07,South Carolina Department of Transportation,State Reporter,634
40989,Southeast Tennessee Human Resource Agency-Rural Division,Rural Reporter,Rural,4R08,Tennessee Department of Transportation,State Reporter,635
40990,Martin County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,636
40991,Municipality of Utuado,Rural Reporter,Rural,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,637
40994,Habersham County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,638
40996,Caswell County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,639
40997,Owen County Fiscal Court,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter,640
40999,Sumter County Board of County Commissioners,Rural Reporter,Rural,4R02,Florida Department of Transportation,State Reporter,641
41000,Educational Center for Independence,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter,642
41002,Generations Unlimited,Rural Reporter,Rural,4R07,South Carolina Department of Transportation,State Reporter,643
41003,Fairfield County Transit System,Rural Reporter,Rural,4R07,South Carolina Department of Transportation,State Reporter,644
41004,Chatham Transit Network,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,645
41005,Municipality of Barranquitas,Reduced Asset Reporter,Asset,4R09,Puerto Rico Highway and Transportation Authority,State Reporter,646
41006,Sandy Valley Transportation Services,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter,647
41007,Dade County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,648
41008,Jenkins County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,649
41009,City of Guntersville,Rural Reporter,Rural,4R01,Alabama Department of Transportation,State Reporter,650
41010,Person County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,651
41012,Chattooga County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,652
41013,Paducah Transit Authority,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter,653
41017,Dooly County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,654
41019,Troup County Transit,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,655
41020,Delta Human Resource Agency,Rural Reporter,Rural,4R08,Tennessee Department of Transportation,State Reporter,656
41021,Elbert County ,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,657
41022,Newberry County Council on Aging,Rural Reporter,Rural,4R07,South Carolina Department of Transportation,State Reporter,658
41023,Daniel Boone Development Council,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter,659
41024,Mississippi Valley State University Mass Transit,Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter,660
41027,Bartow County ,Reduced Reporter,Urban,4R03,Georgia Department of Transportation,State Reporter,661
41028,Scotland County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,662
41029,Ashe County Transportation Authority Inc,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,663
41030,SMART Starkville-MSU Area Rapid Transit,Rural Reporter,Rural,4R05,Mississippi Department of Transportation,State Reporter,664
41031,Greene County,Rural Reporter,Rural,4R06,North Carolina Department of Transportation,State Reporter,665
41032,Maysville Transit System,Rural Reporter,Rural,4R04,Kentucky Transportation Cabinet,State Reporter,666
41033,Towns County,Rural Reporter,Rural,4R03,Georgia Department of Transportation,State Reporter,667
