State/Parent NTD ID,NTD ID,Legacy NTD ID,Agency Name,Division/Department,Reporter Acronym,Doing Business As,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,UEID,Service Area Sq Miles,Service Area Pop,Primary UZA UACE Code,UZA Name,Tribal Area Name,Population,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles,TAM Tier,Number of State Counties,Number of Counties with Service,State Admin Funds Expended
3R05,30997,,Senior Life Services of Morgan County,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,106 Sand Mine Rd,STE 1,,Berkeley Springs,WV,25411.0,7457.0,3,https://slsmc.org/transportation/,,G2PRL3JGHFK5,,,,,,,,,,,0,,,Tier II,,,
3R05,30998,,Ritchie County Integrated Family Services,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,521 S Court St,,195,Harrisville,WV,26362.0,7473.0,3,https://wvdscs.org/senior-centers/ritchie-county/,,NG22T81L4GN1,,,,,,,,,,,0,,,Tier II,,,
3R05,30999,,Raleigh County Community Action Association,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,111 Willow Ln,,,Beckley,WV,25801.0,5521.0,3,www.wvcommunityactionpartnership.org,,X2PHZUK7MQF1,,,,,,,,,,,0,,,Tier II,,,
3R05,31000,,Putnam County Aging Program,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,2558 Winfield Rd,,,Saint Albans,WV,25177.0,7804.0,3,https://putnamaging.com/transportation/,,R982TKHLKJU5,,,,,,,,,,,0,,,Tier II,,,
3R05,31001,,Pocahontas County Senior Citizens,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,20626 Seneca Trl,,,Marlinton,WV,24954.0,5506.0,3,https://www.facebook.com/PocahontasCountySeniorCitizensINC/,,RJ3CGBHFKTL8,,,,,,,,,,,0,,,Tier II,,,
3R05,31002,,Pleasants County Senior Services,,,Neighbor Network,Reduced Asset Reporter,Asset,Area Agency on Aging,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,301 Court Ln,,,Saint Marys,WV,26170.0,1317.0,3,www.pleasantscountyneighbornetwork.org,,EZAFJCEBEJC3,,,,,,,,,,,0,,,Tier II,,,
3R05,31003,,Pendleton Senior & Family Services,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,231 Mill Rd,,9,Franklin,WV,26807.0,0.0,3,https://psfsi.org/transportation/,,R152L4C3G9P8,,,,,,,,,,,0,,,Tier II,,,
3R05,31005,,"McDowell County Commission on Aging, Inc.",,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,725 Stewart St,,,Welch,WV,24801.0,2125.0,3,https://mcdowellcoa.org/transportation/,,R71ZJG9KMJA7,,,,,,,,,,,0,,,Tier II,,,
3R05,31006,,Marion County Senior Citizens,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,105 Maplewood Drive,,,Fairmont,WV,26554.0,,3,http://www.marionseniors.org/,,,,,,,,,,,,,0,,,Tier II,,,
3R05,31007,,"Logan-Mingo Area Mental Health, Inc.",,MLIH,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,174 Lmah Center Rd,,176,Logan,WV,25601.0,4058.0,3,https://www.mlih.org/transportation-services,,K5RFCS5CMAF4,,,,,,,,,,,0,,,Tier II,,,
3R05,31008,,Lewis County Senior Citizens Center,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,171 W 2Nd St,,,Weston,WV,26452.0,1665.0,3,http://lcseniorcenter.org/n/services,,VRBZDD4U9YX6,,,,,,,,,,,0,,,Tier II,,,
3R05,31009,,Kanawha Valley Senior Services,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,1710 Pennsylvania Ave,,,Charleston,WV,25302.0,3934.0,3,https://kvss.org/transportation/,,C1C8B95XEBH3,,,,,,,,,,,0,,,Tier II,,,
3R05,31010,,Jefferson County Council on Aging,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,103 W 5Th Ave,,,Ranson,WV,25438.0,1405.0,3,http://jccoa.org/jccoa/anna-mae-reedy-senior-center/services/transportation/,,XJW6LJ1CMRF3,,,,,,,,,,,0,,,Tier II,,,
3R05,31011,,Harrison County Senior Citizens Center,Transportation,HCSC,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,500 W Main St,,,Clarksburg,WV,26301.0,2819.0,3,https://hcscwv.org/transportation,,MJMVKFFKN8J5,,,,,,,,,,,0,,,Tier II,,,
3R05,31012,,Hancock County Senior Services,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,647 Gas Valley Rd,,,New Cumberland,WV,26047.0,2585.0,3,http://hcssi.org/,,DLS2C5T842M5,,,,,,,,,,,0,,,Tier II,,,
3R05,31014,,Friends of Hansford Center,,,,Reduced Asset Reporter,Asset,Area Agency on Aging,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,500 Washington St,,,Saint Albans,WV,25177.0,3062.0,3,,,HAPCEW1EFGA6,,,,,,,,,,,0,,,Tier II,,,
3R05,31015,,Family Service Upper Ohio Valley,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,2200 Main Street,STE 1,,Wheeling,WV,26003.0,2866.0,3,https://www.fsuov.com/services/transportation/24,,YZFWN9TJ1GK3,,,,,,,,,,,0,,,Tier II,,,
3R05,31016,,Council on Aging (Wyoming County),,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,695 Mountaineer Hwy,,458,Mullens,WV,25882.0,255.0,3,http://www.wccoa.com/locations/,,T9U3LGNEJ6H3,,,,,,,,,,,0,,,Tier II,,,
3R05,31017,,Council of Senior Citizens of Gilmer County,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,720 N Lewis St,,,Glenville,WV,26351.0,1319.0,3,https://wvdscs.org/senior-centers/gilmer-county/,,CX7AKKDAE2X9,,,,,,,,,,,0,,,Tier II,,,
3R05,31018,,Berkeley Senior Services,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,217 N High St,,,Martinsburg,WV,25404.0,4419.0,3,https://www.berkeleyseniorservices.org/transporation-services/,,DKY3MB3RRMZ7,,,,,,,,,,,0,,,Tier II,,,
3R05,31019,,Community Action of South Eastern WV,,CASE,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,355 Bluefield Ave,,,Bluefield,WV,24701.0,2883.0,3,www.casewv.org/,,HLW8M7W6NTD3,,,,,,,,,,,0,,,Tier II,,,
3R05,31021,,"Christian Help, Inc. of Mingo County",,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,100 Lincoln St,,1257,Kermit,WV,25674.0,1301.0,3,https://www.christianhelpmingo.org/#Services,,RJ3GNL6LJMP4,,,,,,,,,,,0,,,Tier II,,,
3R05,31023,,"Central WV Community Action, Inc.",,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,106 Frederick St,,1070,Clarksburg,WV,26301.0,4259.0,3,https://centralwvaction.org/services/transportation/,,CG4CGU6UGPL7,,,,,,,,,,,0,,,Tier II,,,
3R05,31024,,Braxton County Senior Citizens Center,,,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,23 Senior Center Dr,,,Sutton,WV,26601.0,9581.0,3,https://wvdscs.org/senior-centers/braxton-county/,,PW13YP58ZQE9,,,,,,,,,,,0,,,Tier II,,,
3R06,31025,,County of Greensville,Transportation ,GET,Greensville Emporia Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R06,Virginia Department of Rail and Public Transportation,Rural General Public Transit,2023-09-30,2024-01-31,1781 Greensville County Cir,,,Emporia,VA,23847.0,6347.0,3,http://www.greensvillecountyva.gov/index.php/departments/transportation,1459.0,UXBGLNMWERF8,,,,,,,,,2.0,,2,0.0,0.0,Tier II,,,
3R06,31026,,"Dillion's Bus Service, Inc.",,,Virginia Breeze Bus ,Rural Reporter,Rural,Private-For-Profit Corporation,3R06,Virginia Department of Rail and Public Transportation,Intercity Bus,2023-09-30,2024-01-31,7479 New Ridge Rd,,,Hanover,MD,21076.0,3129.0,3,https://virginiabreeze.org/,1459.0,RXWHVERTMF59,,,,,,,,,,,0,,,Tier II,,,
3R04,31028,,"Allied Coordinated Transportation Services, Inc.",,ACTS,,Rural Reporter,Rural,Private-Non-Profit Corporation,3R04,Pennsylvania Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,,,,,PA,,,3,https://lccap.org/programs-services/transportation/acts-bus-service/,1429.0,JRXNY328QPJ6,,,,,,,,,24.0,,24,0.0,0.0,Tier II,,,
,31029,,"Blair Senior Services, Inc.",,,,Reduced Reporter,Urban,Area Agency on Aging,,,,2023-06-30,2023-10-31,1320 12Th Ave,,,Altoona,PA,16601.0,3308.0,3,https://blairsenior.org/,1429.0,N94TD6CNBK99,525.0,122822.0,1792.0,"Altoona, PA",,74426.0,2010.86077286989,37.01,23.0,,23,,,Tier II,,,
3R04,31030,,"Bucks County Transport, Inc.",,BCT,,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R04,Pennsylvania Department of Transportation,Asset Subrecipient,2023-12-31,2024-04-30,4920 York Road,Suite 2MM,,Holicong,PA,18928.0,,3,https://bctransport.org/,,ZPYNFV9UHK27,,,,,,,,,,,0,,,Tier II,,,
3R04,31031,,"Call-A-Ride Service, Inc.",,C.A.R.S.,,Rural Reporter,Rural,Area Agency on Aging,3R04,Pennsylvania Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,249 W 3Rd St,,,Lewistown,PA,17044.0,2004.0,3,https://mymjrsc.com/call-a-ride/,1429.0,SSWCEXVY51G1,,,,,,,,,11.0,,11,3.0,3.0,Tier II,,,
3R04,31032,,Clarion County,Transportation,,Clarion County Transportation,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R04,Pennsylvania Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,338 Amsler Ave,,,Shippenville,PA,16254.0,4808.0,3,https://www.co.clarion.pa.us/government/departments/transportation.php,1429.0,N3RBLQNSEWD4,,,,,,,,,,13.0,13,0.0,0.0,Tier II,,,
3R04,31033,,"Community Transit of Delaware County, Inc.",,CTDC,DELGO,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R04,Pennsylvania Department of Transportation,Asset Subrecipient,2023-12-31,2024-04-30,"206 Eddystone Avenue, Suite 200",,,Eddystone,PA,19022.0,,3,http://ctdelco.org/,,C67RS65GH827,,,,,,,,,,,0,,,Tier II,,,
3R04,31034,,Forest County,Transportation,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R04,Pennsylvania Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,526 Elm St,,452,Tionesta,PA,16353.0,9724.0,3,http://www.co.forest.pa.us/departments/transportation.php,1429.0,N9AMEJCLYAL3,,,,,,,,,15.0,,15,0.0,0.0,Tier II,,,
3R04,31035,,Wayne County,Human Services,,Wayne County Transportation System,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R04,Pennsylvania Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,925 Court St,,,Honesdale,PA,18431.0,1930.0,3,https://waynecountypa.gov/218/Transportation,1429.0,X1ADMNFT6525,8426.0,395300.0,,,,,,,41.0,,41,0.0,0.0,Tier II,,,
,31036,,"STEP, Inc.",,,,Reduced Reporter,Urban,Private-Non-Profit Corporation,,,,2023-06-30,2023-10-31,2138 Lincoln St,,,Williamsport,PA,17701.0,5549.0,3,https://www.stepcorp.org/step-pathways/independent-living/step-transportation.html,1429.0,F2QWB1PXGN67,5004.0,151638.0,95455.0,"Williamsport, PA",,55344.0,1996.18391631397,27.72,30.0,3.0,33,,,Tier II,,,
3R04,31037,,"Suburban Transit Network, Inc.",,STN,TransNet,Reduced Asset Reporter,Asset,Private-Non-Profit Corporation,3R04,Pennsylvania Department of Transportation,Asset Subrecipient,2023-12-31,2024-04-30,"980 Harvest Drive, Suite 100",,,Blue Bell,PA,19422.0,,3,https://www.suburbantransit.org/,,J2M8M9K8XDP5,,,,,,,,,,,0,,,Tier II,,,
3R04,31038,,Pike County,Transportation,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R04,Pennsylvania Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,150 Pike County Blvd,,,Hawley,PA,18428.0,9107.0,3,https://www.pikepa.org/living___working/transportation/index.php,1429.0,FSCYERFHVEM7,,,,,,,,,17.0,,17,0.0,0.0,Tier II,,,
3R04,31039,,Huntingdon-Bedford-Fulton Area Agency on Aging,,HBFAAA,CART Senior Transportation,Rural Reporter,Rural,Area Agency on Aging,3R04,Pennsylvania Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,240 S Wood St,,,Bedford,PA,15522.0,1453.0,3,https://www.hbfaaa.org/cart/,1429.0,YYQLTUWT7VE5,,,,,,,,,28.0,,28,0.0,0.0,Tier II,,,
3R04,31040,,Greene County - PA,Greene County Transportation Office,,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R04,Pennsylvania Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,93 E High St,,,Waynesburg,PA,15370.0,1839.0,3,https://www.co.greene.pa.us/Department-Transportation-Services,1429.0,F5NZJQ9JN1T9,,,,,,,,,11.0,,11,0.0,0.0,Tier II,,,
3R04,31041,,County of Butler,,BART,Butler Area Rural Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R04,Pennsylvania Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,124 W Diamond St,,,Butler,PA,16001.0,5780.0,3,https://www.butlercountypa.gov/350/Transportation,1429.0,CCZ1R4JL2GU4,,,,,,,,,,18.0,18,0.0,0.0,Tier II,,,
,31042,,Centre County,Transportation Office,,,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,420 Holmes St Ste 242,,,Bellefonte,PA,16823.0,1401.0,3,https://centrecountypa.gov/431/Transportation-Office,1429.0,TH5FMXLR4NJ5,1113.0,158172.0,84493.0,"State College, PA",,83674.0,3228.30236180601,25.92,23.0,,23,,,Tier II,,,
3R04,31043,,Chester County,Community Transit,,Chesco Connect,Reduced Asset Reporter,Asset,"City, County or Local Government Unit or Department of Transportation",3R04,Pennsylvania Department of Transportation,Asset Subrecipient,2023-12-31,2024-04-30,313 W Market St,,,West Chester,PA,19382.0,2804.0,3,https://www.chesco.org/5325/Community-Transit,1429.0,T77LDMB6L6T6,,,,,,,,,,,0,,,Tier II,,,
3R04,31044,,Somerset County,,SCTS,Somerset County Transportation System,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R04,Pennsylvania Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,300 N Center Ave Ste 500,,,Somerset,PA,15501.0,1472.0,3,https://tableland.org/Transportation,1429.0,JLXVEKZ8V3X3,,,,,,,,,,23.0,23,0.0,0.0,Tier II,,,
3R04,31045,,Susquehanna County,,SWCT,Susquehanna-Wyoming County Transportation,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",3R04,Pennsylvania Department of Transportation,Rural General Public Transit,2023-12-31,2024-04-30,31 Lake Ave,,,Montrose,PA,18801.0,1022.0,3,https://trehab.org/susquehanna-wyoming-county-transportation/,1429.0,G5ZJAY9MVTH1,,,,,,,,,,23.0,23,0.0,0.0,Tier II,,,
3R05,31046,,"Commission On Aging Family Services Inc., The",,,,Reduced Asset Reporter,Asset,Area Agency on Aging,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,111 Virginia Ave,,,Petersburg,WV,26847.0,1713.0,3,https://www.gcscwv.org/,,EHG9QBQ3ANR9,,,,,,,,,,,0,,,Tier II,,,
3R05,31047,,Raleigh County Commission on Aging,Transportation,RCCA,,Reduced Asset Reporter,Asset,Area Agency on Aging,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,1614 South Kanawha Street,,,Beckley,WV,25801.0,,3,https://raleighseniors.org/transportation/,,,,,,,,,,,,,0,,,Tier II,,,
3R05,31048,,"Greenbrier Co. Committee on Aging, Inc.",,,,Reduced Asset Reporter,Asset,Area Agency on Aging,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,284 Greenbrier Street,,556,Rupert,WV,25984.0,,3,https://wvdscs.org/senior-centers/greenbrier-county/,,,,,,,,,,,,,0,,,Tier II,,,
3R05,31049,,Hardy County Committee on Aging Inc,,,,Reduced Asset Reporter,Asset,Area Agency on Aging,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,409 Spring Ave,,,Moorefield,WV,26836.0,1036.0,3,https://www.hardycountycoa.org/index.htm,,YNN9JHK7T3A4,,,,,,,,,,,0,,,Tier II,,,
3R05,31050,,Council of Senior Tyler Countians Inc,,,,Reduced Asset Reporter,Asset,Area Agency on Aging,3R05,West Virginia Department of Transportation,Asset Subrecipient,2023-06-30,2023-10-31,504 Cherry St,,,Middlebourne,WV,26149.0,9618.0,3,,,VCDUGET8MMM5,,,,,,,,,,,0,,,Tier II,,,
,3R02,3R02,Delaware Transit Corporation,Operations,DART,,State Reporter,Rural,,,,,2023-06-30,2023-10-31,800 S Bay Rd Ste 1,,,Dover,DE,19901.0,4685.0,3,http://www.dartfirststate.com/,1396.0,EKP2WKQRWJF3,,,,,,,,,,,0,,,Tier II,3.0,1.0,0.0
,3R03,3R03,Maryland Department of Transportation,Office of Local Transit Support,MTA,,State Reporter,Rural,,,,,2023-06-30,2023-10-31,6 Saint Paul St Fl 8,,,Baltimore,MD,21202.0,6806.0,3,http://www.mta.maryland.gov/,1401.0,RLSTMX6G1KN9,,,,,,,,,,,0,,,Tier II,24.0,17.0,23016.0
,3R04,3R04,Pennsylvania Department of Transportation,,PennDOT,,State Reporter,Rural,,,,,2023-12-31,2024-04-30,400 North St Fl 7,7th Floor,,Harrisburg,PA,17120.0,207.0,3,http://www.penndot.gov/,1429.0,DWXXLGJBUPL7,,,,,,,,,,,0,,,Tier II,67.0,51.0,0.0
,3R05,3R05,West Virginia Department of Transportation,,DPT,,State Reporter,Rural,,,,,2023-06-30,2023-10-31,1900 Kanawha Blvd E,RM 5,,Charleston,WV,25305.0,1.0,3,https://transportation.wv.gov/publictransit/Pages/default.aspx,1501.0,T1U2JF6Q1H45,,,,,,,,,,,0,,,Tier II,55.0,26.0,554866.0
,3R06,3R06,Virginia Department of Rail and Public Transportation,,DRPT,,State Reporter,Rural,,,,,2023-09-30,2024-01-31,600 E Main St Ste 2102,,,Richmond,VA,23219.0,2443.0,3,http://www.drpt.virginia.gov/,1459.0,EMU7L25FKNE9,,,,,,,,,,,0,,,Tier II,95.0,67.0,78897.0
,40001,4001,Chattanooga Area Regional Transportation Authority,,CARTA,,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,1617 Wilcox Blvd,,,Chattanooga,TN,37406.0,4302.0,4,http://www.gocarta.org/,1120.0,DTKCV1LY8ZA6,289.0,184086.0,15832.0,"Chattanooga, TN--GA",,398569.0,1366.35330086656,291.7,76.0,,76,,,Tier I (Rail),,,
,40002,4002,City of Knoxville,Mass Transit,KAT,Knoxville Area Transit,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,400 W Main St,,,Knoxville,TN,37902.0,2405.0,4,http://www.katbus.com/,1124.0,FJEHNN9JALF8,104.0,192648.0,45640.0,"Knoxville, TN",,597257.0,1382.83702012167,431.91,64.0,,64,,,Tier II,,,
,40003,4003,City of Memphis,,MATA,Memphis Area Transit Authority,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,1370 Levee Rd,,,Memphis,TN,38108.0,1011.0,4,http://www.matatransit.com/,1125.0,J1KQCMKJN7U8,254.0,627200.0,56116.0,"Memphis, TN--MS--AR",,1056190.0,2149.93005544014,491.27,131.0,,131,,,Tier I (Rail),,,
,40004,4004,Metropolitan Transit Authority,,MTA,WeGo Public Transit,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-06-30,2023-10-31,430 Myatt Dr,,,Madison,TN,37115.0,3025.0,4,https://www.wegotransit.com/,1809.0,JCKQY7NM1EX1,504.0,703953.0,61273.0,"Nashville-Davidson, TN",,1158642.0,1980.7401626766,584.95,184.0,69.0,253,,,Tier I (Fixed Route VOMS),,,
,40005,4005,City of Asheville,Asheville Rides Transit (ART) Transit Division / Department of City,ART,ART (Asheville Rides Transit),Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,70 Court Plz,,,Asheville,NC,28801.0,3507.0,4,http://www.ridetheart.com/,1057.0,WTHRNPCARBL9,45.0,93350.0,3358.0,"Asheville, NC",,285776.0,1149.61099706041,248.58,,19.0,19,,,Tier II,,,
,40006,4006,Cape Fear Public Transportation Authority,,,Wave Transit,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-06-30,2023-10-31,505 Cando St,,12630,Wilmington,NC,28405.0,3503.0,4,http://www.wavetransit.com/,1066.0,ZJGZB1ELAN49,112.0,191698.0,95833.0,"Wilmington, NC",,255329.0,1794.96554311804,142.25,18.0,25.0,43,,,Tier II,,,
,40007,4007,City of Raleigh,Transit,,GoRaleigh,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,222 W Hargett St,,,Raleigh,NC,27601.0,1316.0,4,http://www.raleighnc.gov/transit/,1065.0,YDYNCVFA9NH4,125.0,474069.0,73261.0,"Raleigh, NC",,1106646.0,1994.60848312944,554.82,,262.0,262,,,Tier I (Non-Fixed Route VOMS),,,
,40008,4008,City of Charlotte North Carolina,Charlotte Area Transit System,CATS,,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,600 E 4Th St,,,Charlotte,NC,28202.0,2816.0,4,http://www.ridetransit.org,1111.0,Y84GJESBH8W5,675.0,1329749.0,15670.0,"Charlotte, NC--SC",,1379873.0,2098.30228183012,657.61,108.0,188.0,296,,,Tier I (Rail),,,
,40009,4009,City of Fayetteville,Transit,FAST,Fayetteville Area System of Transit,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,467 Hay St,,,Fayetteville,NC,28301.0,5565.0,4,https://www.fayettevillenc.gov/city-services/transit,1112.0,M7SAWYCADYW1,95.0,164400.0,29440.0,"Fayetteville, NC",,325008.0,1658.84983809762,195.92,33.0,3.0,36,,,Tier II,,,
,40010,4010,City of Gastonia,Transportation,,Gastonia Transit,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,181 S South St,,1748,Gastonia,NC,28052.0,4126.0,4,https://www.cityofgastonia.com/residents/transportation.html,1063.0,NY94C2ZGNLR8,45.0,82653.0,32653.0,"Gastonia, NC",,176897.0,1419.95922993754,124.58,9.0,,9,,,Tier II,,,
,40011,4011,City of High Point,Transit,HPTS,High Point Transit System,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,211 S Hamilton St,,,High Point,NC,27260.0,5232.0,4,https://www.highpointnc.gov/transit,1064.0,UVJAHE7H36N6,95.0,116065.0,38809.0,"High Point, NC",,167830.0,1665.08488011488,100.79,18.0,,18,,,Tier II,,,
,40012,4012,City of Winston Salem,Department of Transportation,WSTA,Winston-Salem Transit Authority,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,1060 N Trade St,,,Winston Salem,NC,27101.0,1534.0,4,http://www.wstransit.com/,1114.0,EHJNTJENMVD3,134.0,254274.0,96670.0,"Winston-Salem, NC",,420924.0,1354.365798827,310.79,57.0,,57,,,Tier II,,,
,40014,4014,Ms Coast Transportation Authority,,CTA,COAST TRANSIT AUTHORITY,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-09-30,2024-01-31,333 Debuys Rd,,,Gulfport,MS,39507.0,3827.0,4,http://www.CoastTransit.com/,1107.0,WXAMQJQUN546,80.0,124940.0,35920.0,"Gulfport--Biloxi, MS",,236344.0,1401.49401618513,168.64,37.0,37.0,74,,,Tier II,,,
,40015,4015,"City of Jackson, MS",Planning/Transit Services,JTRAN,,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-09-30,2024-01-31,200 S President St,,,Jackson,MS,39201.0,4307.0,4,www.ridejtran.com,1109.0,GNNPTMPBPYM8,101.0,160628.0,42211.0,"Jackson, MS",,347693.0,1466.08668701489,237.16,,32.0,32,,,Tier II,,,
,40016,4016,City of Ashland,Mass Transit,ABS,Ashland Bus System,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-06-30,2023-10-31,1700 Greenup Avenue,,1839,Ashland,KY,41101.0,7663.0,4,https://www.ashlandky.gov/residents/ashland_bus_system/index.php,1399.0,Z52NNQSMJ289,17.0,23540.0,40753.0,"Huntington, WV--KY--OH",,200157.0,1553.11414602306,128.87,11.0,,11,,,Tier II,,,
,40017,4017,Lexington Transit Authority,,,Lextran,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-06-30,2023-10-31,200 W Loudon Ave,,,Lexington,KY,40508.0,1272.0,4,http://www.lextran.com/,1104.0,D6ELHXJ2GPZ9,284.0,295803.0,49582.0,"Lexington-Fayette, KY",,315631.0,3757.78588102506,83.99,52.0,51.0,103,,,Tier II,,,
