wltype,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Bio-Diesel,Bunker Fuel,C Natural Gas,Diesel Fuel,Electric Battery,Electric Propulsion,Ethanol, Methonal ,Gasoline,Hydrogen,Kerosene,Liquified Nat Gas,Liquified Petroleum Gas,Other Fuel,Other Fuel Description
Full Reporter,20126,"Hudson Transit Lines, Inc.",Full Reporter,Urban,CB,DO,,,,767762,,,,,,,,,,,
Full Reporter,20128,Suburban Transit Corporation,Full Reporter,Urban,CB,DO,,,,266856,,,,,,,,,,,
Full Reporter,20135,Monsey New Square Trails Corporation,Full Reporter,Urban,CB,DO,,,,214625,,,,,,,,,,,
Full Reporter,20145,Tompkins Consolidated Area Transit,Full Reporter,Urban,DR,PT,,,,,,,,,43718,,,,,,
Full Reporter,20145,Tompkins Consolidated Area Transit,Full Reporter,Urban,MB,DO,,,,305611,,,,,152,,,,,,
Full Reporter,20149,"Rockland Coaches, Inc.",Full Reporter,Urban,CB,DO,,,,256059,,,,,,,,,,,
Full Reporter,20161,DeCamp Bus Lines,Full Reporter,Urban,CB,DO,,,,119707,,,,,,,,,,,
Full Reporter,20163,"Lakeland Bus Lines, Inc.",Full Reporter,Urban,CB,DO,,,,223164,,,,,,,,,,,
Full Reporter,20166,"Orange-Newark-Elizabeth, Inc.",Full Reporter,Urban,MB,DO,,,,268458,,,,,,,,,,,
Full Reporter,20169,"Trans-Bridge Lines, Inc. ",Full Reporter,Urban,CB,DO,,,,234713,,,,,,,,,,,
Full Reporter,20175,Private Transportation Corporation,Full Reporter,Urban,MB,PT,,,,36096,,,,,,,,,,,
Full Reporter,20177,"Adirondack Transit Lines, Inc,",Full Reporter,Urban,CB,DO,,,,158986,,,,,,,,,,,
Full Reporter,20178,Ulster County ,Full Reporter,Urban,DR,DO,,,,,,,,,22372,,,,,,
Full Reporter,20178,Ulster County ,Full Reporter,Urban,MB,DO,,,,101813,,,,,24846,,,,,,
Full Reporter,20188,MTA Bus Company,Full Reporter,Urban,MB,DO,,,2128363,9000151,,,,,,,,,,,
Full Reporter,20190,Port Imperial Ferry Corporation,Full Reporter,Urban,FB,DO,,,,1142015,,,,,,,,,,,
Full Reporter,20190,Port Imperial Ferry Corporation,Full Reporter,Urban,MB,DO,,,,57567,,,,,,,,,,,
Full Reporter,20192,Bergen County,Full Reporter,Urban,DR,DO,,,,,,,,,49749,,,,,,
Full Reporter,20192,Bergen County,Full Reporter,Urban,MB,DO,,,,,,,,,2899,,,,,,
Full Reporter,20199,County of Atlantic,Full Reporter,Urban,DR,DO,,,,3036,,,,,73552,,,,,,
Full Reporter,20204,"Senior Citizens United Community Services of Camden County, Inc.",Full Reporter,Urban,DR,DO,,,,4238,,,,,60494,,,,,,
Full Reporter,20206,County of Nassau,Full Reporter,Urban,DR,PT,,,,56040,,,,,92675,,,,,,
Full Reporter,20206,County of Nassau,Full Reporter,Urban,MB,PT,,,2665303,24691,,,,,17480,,,,,,
Full Reporter,20209,Somerset County,Full Reporter,Urban,DR,DO,,,,2407,,,,,81110,,,,,,
Full Reporter,20209,Somerset County,Full Reporter,Urban,MB,DO,,,,20051,,,,,20974,,,,,,
Full Reporter,20217,"Hampton Jitney, Inc.",Full Reporter,Urban,CB,DO,,,,290389,,,,,,,,,,,
Full Reporter,20226,"SeaStreak, LLC",Full Reporter,Urban,FB,DO,,,,1423585,,,,,,,,,,,
Full Reporter,22930,New York City Economic Development Corporation,Full Reporter,Urban,FB,PT,,,,3151574,,,,,,,,,,,
Full Reporter,22930,New York City Economic Development Corporation,Full Reporter,Urban,MB,PT,,,,,,,,,,,,,,,
Full Reporter,30001,Kanawha Valley Regional Transportation Authority,Full Reporter,Urban,DR,DO,,,,,,,,,26742,,,,,,
Full Reporter,30001,Kanawha Valley Regional Transportation Authority,Full Reporter,Urban,MB,DO,,,,331078,,,,,42238,,,,,,
Full Reporter,30002,The Tri-State Transit Authority,Full Reporter,Urban,DR,DO,,,,,,,,,46347,,,,,,
Full Reporter,30002,The Tri-State Transit Authority,Full Reporter,Urban,MB,DO,,,,193206,,,,,,,,,,,
Full Reporter,30006,Greater Richmond Transit Company,Full Reporter,Urban,DR,PT,,,318382,,,,,,,,,,,,
Full Reporter,30006,Greater Richmond Transit Company,Full Reporter,Urban,MB,DO,,,1178431,346019,,,,,,,,,,,
Full Reporter,30006,Greater Richmond Transit Company,Full Reporter,Urban,MB,PT,,,2048,,,,,,,,,,,,
Full Reporter,30006,Greater Richmond Transit Company,Full Reporter,Urban,RB,DO,,,178575,,,,,,,,,,,,
Full Reporter,30006,Greater Richmond Transit Company,Full Reporter,Urban,VP,PT,,,,,,,,,213340,,,,,,
Full Reporter,30007,Greater Roanoke Transit Company,Full Reporter,Urban,DR,PT,,,,,,,,,35933,,,,,,
Full Reporter,30007,Greater Roanoke Transit Company,Full Reporter,Urban,MB,DO,,,,374747,,,,,14679,,,,,,
Full Reporter,30008,Greater Lynchburg Transit Company,Full Reporter,Urban,DR,DO,,,,,,,,,30000,,,,,,
Full Reporter,30008,Greater Lynchburg Transit Company,Full Reporter,Urban,MB,DO,,,,216242,,,,,,,,,,,
Full Reporter,30010,Lehigh and Northampton Transportation Authority,Full Reporter,Urban,DR,PT,,,,118783,,,,,126382,,,,,,
Full Reporter,30010,Lehigh and Northampton Transportation Authority,Full Reporter,Urban,MB,DO,,,475045,322360,,,,,,,,,,,
Full Reporter,30010,Lehigh and Northampton Transportation Authority,Full Reporter,Urban,MB,PT,,,,1994,,,,,,,,,,,
Full Reporter,30011,Altoona Metro Transit,Full Reporter,Urban,DR,DO,,,,63,,,,,,,,,,,
Full Reporter,30011,Altoona Metro Transit,Full Reporter,Urban,DR,PT,,,,,,,,,8943,,,,,,
Full Reporter,30011,Altoona Metro Transit,Full Reporter,Urban,MB,DO,,,155442,12101,,,,,,,,,,,
Full Reporter,30012,Cambria County Transit Authority,Full Reporter,Urban,DR,DO,,,9196,,,,,,34326,,,,,,
Full Reporter,30012,Cambria County Transit Authority,Full Reporter,Urban,IP,DO,,,,,,69888,,,,,,,,,
Full Reporter,30012,Cambria County Transit Authority,Full Reporter,Urban,MB,DO,,,101578,11978,,,,,28814,,,,,,
Full Reporter,30013,Erie Metropolitan Transit Authority,Full Reporter,Urban,DR,DO,,,,4851,,,,,164539,,,,,,
Full Reporter,30013,Erie Metropolitan Transit Authority,Full Reporter,Urban,MB,DO,,,133824,301128,,,,,23168,,,,,,
Full Reporter,30014,Cumberland Dauphin-Harrisburg Transit Authority,Full Reporter,Urban,DR,DO,,,,,,,,,117672,,,,,,
Full Reporter,30014,Cumberland Dauphin-Harrisburg Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,98180,,,,,,
Full Reporter,30014,Cumberland Dauphin-Harrisburg Transit Authority,Full Reporter,Urban,MB,DO,8846,,,433474,,,,,,,,,,,
Full Reporter,30014,Cumberland Dauphin-Harrisburg Transit Authority,Full Reporter,Urban,MB,PT,,,,11287,,,,,,,,,,,
Full Reporter,30015,Luzerne County Transportation Authority,Full Reporter,Urban,DR,DO,,,,,,,,,114074,,,,,,
Full Reporter,30015,Luzerne County Transportation Authority,Full Reporter,Urban,MB,DO,,,37663,244827,,,,,,,,,,,
Full Reporter,30019,Southeastern Pennsylvania Transportation Authority,Full Reporter,Urban,CR,DO,,,,,,190958248,,,,,,,,,
Full Reporter,30019,Southeastern Pennsylvania Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,1565864,,,,,,
Full Reporter,30019,Southeastern Pennsylvania Transportation Authority,Full Reporter,Urban,HR,DO,,,,,,125067726,,,,,,,,,
Full Reporter,30019,Southeastern Pennsylvania Transportation Authority,Full Reporter,Urban,MB,DO,,,,10960149,1030091,,,,,,,,,,
Full Reporter,30019,Southeastern Pennsylvania Transportation Authority,Full Reporter,Urban,MB,PT,27243,,,,,,,,,,,,,,
Full Reporter,30019,Southeastern Pennsylvania Transportation Authority,Full Reporter,Urban,SR,DO,,,,,,23839122,,,,,,,,,
Full Reporter,30019,Southeastern Pennsylvania Transportation Authority,Full Reporter,Urban,TB,DO,,,,,,4702003,,,,,,,,,
Full Reporter,30022,Port Authority of Allegheny County,Full Reporter,Urban,DR,PT,,,,,,,,,1027274,,,,,,
Full Reporter,30022,Port Authority of Allegheny County,Full Reporter,Urban,IP,DO,,,,,,204443,,,,,,,,,
Full Reporter,30022,Port Authority of Allegheny County,Full Reporter,Urban,LR,DO,,,,,,30547053,,,,,,,,,
Full Reporter,30022,Port Authority of Allegheny County,Full Reporter,Urban,MB,DO,,,,6328318,9366,,,,,,,,,,
Full Reporter,30023,Beaver County Transit Authority,Full Reporter,Urban,DR,DO,,,,,,,,,62248,,,,,,
Full Reporter,30023,Beaver County Transit Authority,Full Reporter,Urban,MB,DO,,,161611,55279,,,,,6154,,,,,,
Full Reporter,30025,County of Lackawanna Transit System,Full Reporter,Urban,DR,DO,,,24181,,,,,,65377,,,,,,
Full Reporter,30025,County of Lackawanna Transit System,Full Reporter,Urban,DR,PT,,,,,,,,,10808,,,,,,
Full Reporter,30025,County of Lackawanna Transit System,Full Reporter,Urban,MB,DO,,,109218,116482,,,,,,,,,,,
Full Reporter,30025,County of Lackawanna Transit System,Full Reporter,Urban,MB,PT,,,,,,,,,22832,,,,,,
Full Reporter,30026,City of Williamsport,Full Reporter,Urban,DR,PT,,,,,,,,,8436,,,,,,
Full Reporter,30026,City of Williamsport,Full Reporter,Urban,MB,DO,,,202796,54976,,,,,324,,,,,,
Full Reporter,30027,Central Pennsylvania Transportation Authority,Full Reporter,Urban,CB,DO,,,24169,57590,,,,,1732,,,,,,
Full Reporter,30027,Central Pennsylvania Transportation Authority,Full Reporter,Urban,DR,DO,,,,6004,,,,,772434,,,,,,
Full Reporter,30027,Central Pennsylvania Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,60051,,,,,,
Full Reporter,30027,Central Pennsylvania Transportation Authority,Full Reporter,Urban,MB,DO,,,155225,66590,,,,,72922,,,,,,
Full Reporter,30030,Washington Metropolitan Area Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,2264890,,,,,,
Full Reporter,30030,Washington Metropolitan Area Transit Authority,Full Reporter,Urban,HR,DO,,,,,,576455528,,,,,,,,,
Full Reporter,30030,Washington Metropolitan Area Transit Authority,Full Reporter,Urban,MB,DO,,,3363008,6689890,25827,,,,,,,,,,
Full Reporter,30030,Washington Metropolitan Area Transit Authority,Full Reporter,Urban,MB,PT,,,,389525,,,,,,,,,,,
Full Reporter,30034,Maryland Transit Administration,Full Reporter,Urban,CB,PT,,,,1754928,,,,,,,,,,,
Full Reporter,30034,Maryland Transit Administration,Full Reporter,Urban,CR,PT,,,,3709703,,21715405,,,,,,,,,
Full Reporter,30034,Maryland Transit Administration,Full Reporter,Urban,DR,DO,,,,,,,,,26455,,,,,,
Full Reporter,30034,Maryland Transit Administration,Full Reporter,Urban,DR,PT,,,,,,,,,1914938,,,,,,
Full Reporter,30034,Maryland Transit Administration,Full Reporter,Urban,HR,DO,,,,,,44465246,,,,,,,,,
Full Reporter,30034,Maryland Transit Administration,Full Reporter,Urban,LR,DO,,,,,,25044315,,,,,,,,,
Full Reporter,30034,Maryland Transit Administration,Full Reporter,Urban,MB,DO,,,,5230675,,,,,,,,,,,
Full Reporter,30035,Ohio Valley Regional Transportation Authority,Full Reporter,Urban,DR,DO,,,,,,,,,5680,,,,,,
Full Reporter,30035,Ohio Valley Regional Transportation Authority,Full Reporter,Urban,MB,DO,,,,114593,,,,,30815,,,,,,
Full Reporter,30044,Westmoreland County ,Full Reporter,Urban,DR,DO,,,,,,,,,95138,,,,,,
Full Reporter,30044,Westmoreland County ,Full Reporter,Urban,MB,DO,,,132991,125999,,,,,,,,,,,
Full Reporter,30045,"JAUNT, Inc.",Full Reporter,Urban,CB,DO,,,,,,,,,31802,,,,,,
Full Reporter,30045,"JAUNT, Inc.",Full Reporter,Urban,DR,DO,,,,,1584,,,,179321,,,,,,
Full Reporter,30048,County of Howard,Full Reporter,Urban,DR,PT,,,,,,,,,106176,,,,,,
Full Reporter,30048,County of Howard,Full Reporter,Urban,MB,PT,,,,267490,52714,,,,33062,,,,,,
Full Reporter,30051,"Montgomery County, Maryland",Full Reporter,Urban,DR,DO,,,,,,,,,7647,,,,,,
Full Reporter,30051,"Montgomery County, Maryland",Full Reporter,Urban,MB,DO,,,1349473,2064931,,,,,,,,,,,
Full Reporter,30054,Centre Area Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,25013,,,,,,
Full Reporter,30054,Centre Area Transportation Authority,Full Reporter,Urban,MB,DO,,,539333,,,,,,,,,,,,
Full Reporter,30054,Centre Area Transportation Authority,Full Reporter,Urban,VP,DO,,,,341,,,,,48826,,,,,,
Full Reporter,30057,Pennsylvania Department of Transportation,Full Reporter,Urban,CR,PT,,,,,,27325354,,,,,,,,,
Full Reporter,30058,City of Fairfax,Full Reporter,Urban,MB,DO,,,,94852,,,,,,,,,,,
Full Reporter,30061,Mid Mon Valley Transit Authority,Full Reporter,Urban,MB,PT,,,155177,57743,,,,,,,,,,,
Full Reporter,30068,"Fairfax County, VA",Full Reporter,Urban,MB,PT,,,,2405054,,,,,,,,,,,
Full Reporter,30070,Potomac and Rappahannock Transportation Commission,Full Reporter,Urban,CB,PT,,,,913795,,,,,,,,,,,
Full Reporter,30070,Potomac and Rappahannock Transportation Commission,Full Reporter,Urban,DR,PT,,,,,,,,,751,,,,,,
Full Reporter,30070,Potomac and Rappahannock Transportation Commission,Full Reporter,Urban,MB,PT,,,,377237,,,,,,,,,,,
Full Reporter,30070,Potomac and Rappahannock Transportation Commission,Full Reporter,Urban,VP,PT,,,,,,,,,460395,,,,,,
Full Reporter,30071,City of Alexandria ,Full Reporter,Urban,MB,DO,,,,527426,,,,,,,,,,,
Full Reporter,30072,"Frederick County, Maryland",Full Reporter,Urban,DR,DO,,,,1370,,,,,31856,,,,,,
Full Reporter,30072,"Frederick County, Maryland",Full Reporter,Urban,MB,DO,,,,100666,148170,,,,32176,,,,,,
Full Reporter,30073,Virginia Railway Express,Full Reporter,Urban,CR,PT,,,,1430638,,,,,,,,,,,
Full Reporter,30075,Delaware Transit Corporation,Full Reporter,Urban,DR,DO,,,,,,,,,216126,,,,1266760,,
Full Reporter,30075,Delaware Transit Corporation,Full Reporter,Urban,DR,PT,,,,,,,,,125188,,,,,,
Full Reporter,30075,Delaware Transit Corporation,Full Reporter,Urban,MB,DO,,,,1644507,269389,,,,,,,,,,
Full Reporter,30075,Delaware Transit Corporation,Full Reporter,Urban,MB,PT,,,,231058,,,,,68488,,,,,,
Full Reporter,30076,Williamsburg Area Transit Authority,Full Reporter,Urban,DR,DO,,,,,,,,,21374,,,,,,
Full Reporter,30076,Williamsburg Area Transit Authority,Full Reporter,Urban,MB,DO,,,,163761,,,,,3946,,,,,,
Full Reporter,30077,Borough of Pottstown,Full Reporter,Urban,DR,PT,,,,,,,,,3144,,,,,,
Full Reporter,30077,Borough of Pottstown,Full Reporter,Urban,MB,PT,,,,68880,,,,,,,,,,,
Full Reporter,30078,Southwestern Pennsylvania Commission,Full Reporter,Urban,VP,PT,,,,,,,,,29511,,,,,,
Full Reporter,30080,"Arlington County, Virginia",Full Reporter,Urban,DR,PT,,,,,,,,,24754,,,,,,
Full Reporter,30080,"Arlington County, Virginia",Full Reporter,Urban,MB,PT,,,712566,,,,,,,,,,,,
Full Reporter,30081,Loudoun County,Full Reporter,Urban,CB,PT,,,,530527,,,,,,,,,,,
Full Reporter,30081,Loudoun County,Full Reporter,Urban,DR,PT,,,,,,,,,18563,,,,,,
Full Reporter,30081,Loudoun County,Full Reporter,Urban,MB,PT,,,,50547,,,,,138037,,,,,,
Full Reporter,30083,Transportation District Commission of Hampton Roads,Full Reporter,Urban,DR,PT,,,,,,,,,491355,,,,,,
Full Reporter,30083,Transportation District Commission of Hampton Roads,Full Reporter,Urban,FB,PT,,,,27952,,,,,,,,,,,
Full Reporter,30083,Transportation District Commission of Hampton Roads,Full Reporter,Urban,LR,DO,,,,,,3318000,,,,,,,,,
Full Reporter,30083,Transportation District Commission of Hampton Roads,Full Reporter,Urban,MB,DO,,,,2147831,,,,,,,,,,,
Full Reporter,30083,Transportation District Commission of Hampton Roads,Full Reporter,Urban,VP,PT,,,,,,,,,33094,,,,,,
Full Reporter,30085,"Prince George's County, Maryland",Full Reporter,Urban,DR,DO,,,,24085,,,,,38138,,,,24977,,
Full Reporter,30085,"Prince George's County, Maryland",Full Reporter,Urban,MB,PT,,,,877793,,,,,,,,,,,
Full Reporter,30087,County of Fayette,Full Reporter,Urban,DR,DO,,,,,,,,,134965,,,,,,
Full Reporter,30087,County of Fayette,Full Reporter,Urban,MB,DO,,,8483,33223,,,,,15179,,,,,,
Full Reporter,30087,County of Fayette,Full Reporter,Urban,MB,PT,,,3190,21292,,,,,,,,,,,
Full Reporter,30088,"County Commissioners of Charles County, MD",Full Reporter,Urban,DR,PT,,,,,,,,,64174,,,,,,
Full Reporter,30088,"County Commissioners of Charles County, MD",Full Reporter,Urban,MB,PT,,,,,,,,,213607,,,,,,
Full Reporter,30091,Town of Blacksburg,Full Reporter,Urban,DR,DO,,,,12782,,,,,9787,,,,,,
Full Reporter,30091,Town of Blacksburg,Full Reporter,Urban,MB,DO,,,,269406,,,,,2626,,,,,,
Full Reporter,30094,City of Harrisonburg,Full Reporter,Urban,DR,DO,,,,,,,,,20828,,,,,,
Full Reporter,30094,City of Harrisonburg,Full Reporter,Urban,MB,DO,,,,173371,,,,,696,,,,,,
Full Reporter,30095,County of Lebanon Transit Authority,Full Reporter,Urban,DR,DO,,,,,,,,,36353,,,,,,
Full Reporter,30095,County of Lebanon Transit Authority,Full Reporter,Urban,MB,DO,,,40511,57923,,,,,,,,,,,
Full Reporter,30096,The Tri-County Council for the Lower Eastern Shore of Maryland,Full Reporter,Urban,DR,DO,,,,,,,,,25389,,,,91468,,
Full Reporter,30096,The Tri-County Council for the Lower Eastern Shore of Maryland,Full Reporter,Urban,MB,DO,,,,31541,,,,,48405,,,,89232,,
Full Reporter,30107,West Virginia University - Morgantown Personal Rapid Transit,Full Reporter,Urban,MG,DO,,,,,,3103051,,,,,,,,,
Full Reporter,30111,Washington County Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,212488,,,,,,
Full Reporter,30111,Washington County Transportation Authority,Full Reporter,Urban,MB,PT,,,,47481,,,,,10991,,,,,,
Full Reporter,30112,DDOT - Progressive Transportation Services Administration,Full Reporter,Urban,MB,PT,,,,345567,1115207,,,,,,,,,,
Full Reporter,30112,DDOT - Progressive Transportation Services Administration,Full Reporter,Urban,SR,PT,,,,,,1185958,,,,,,,,,
Full Reporter,30129,Anne Arundel County,Full Reporter,Urban,DR,PT,,,,,,,,,120419,,,,,,
Full Reporter,30129,Anne Arundel County,Full Reporter,Urban,MB,PT,,,,,,,,,81255,,,,,,
Full Reporter,30137,Monroe County Transportation  Authority,Full Reporter,Urban,DR,DO,,,,,,,,,129954,,,,,,
Full Reporter,30137,Monroe County Transportation  Authority,Full Reporter,Urban,MB,DO,,,,84789,,,,,,,,,,,
Full Reporter,30201,City of Baltimore,Full Reporter,Urban,FB,PT,,,,7235,,,,,,,,,,,
Full Reporter,30201,City of Baltimore,Full Reporter,Urban,MB,PT,,,,105292,,,,,,,,,,,
Full Reporter,30202,South Central Transit Authority,Full Reporter,Urban,DR,DO,,,,,,,,,99515,,,,,,
Full Reporter,30202,South Central Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,368313,,,,,,
Full Reporter,30202,South Central Transit Authority,Full Reporter,Urban,MB,DO,609951,,,,,,,,,,,,,,
Full Reporter,40001,Chattanooga Area Regional Transportation Authority,Full Reporter,Urban,DR,DO,,,,,,,,,87828,,,,,,
Full Reporter,40001,Chattanooga Area Regional Transportation Authority,Full Reporter,Urban,IP,DO,,,,,,76000,,,,,,,,,
Full Reporter,40001,Chattanooga Area Regional Transportation Authority,Full Reporter,Urban,MB,DO,,,,416359,222600,,,,28736,,,,,,
Full Reporter,40002,City of Knoxville,Full Reporter,Urban,DR,DO,,,,,,,,,88839,,,,,,
Full Reporter,40002,City of Knoxville,Full Reporter,Urban,MB,DO,,,,647804,,,,,78137,,,,,,
Full Reporter,40003,City of Memphis,Full Reporter,Urban,DR,DO,,,,131953,,,,,108883,,,,,,
Full Reporter,40003,City of Memphis,Full Reporter,Urban,MB,DO,,,,1211721,,,,,8449,,,,,,
Full Reporter,40003,City of Memphis,Full Reporter,Urban,SR,DO,,,,,,739700,,,,,,,,,
Full Reporter,40004,Metropolitan Transit Authority,Full Reporter,Urban,DR,DO,,,,,,,,,409218,,,,,,
Full Reporter,40004,Metropolitan Transit Authority,Full Reporter,Urban,MB,DO,,,,1383851,18426,,,,84858,,,,,,
Full Reporter,40005,City of Asheville,Full Reporter,Urban,MB,PT,,,,218878,428649,,,,,,,,,,
Full Reporter,40006,Cape Fear Public Transportation Authority,Full Reporter,Urban,DR,DO,,,,,,,,,58290,,,,,,
Full Reporter,40006,Cape Fear Public Transportation Authority,Full Reporter,Urban,MB,PT,,,224273,68398,,,,,,,,,,,
Full Reporter,40006,Cape Fear Public Transportation Authority,Full Reporter,Urban,VP,DO,,,,,,,,,1203,,,,,,
Full Reporter,40007,City of Raleigh,Full Reporter,Urban,MB,PT,679258,,479016,,,,,,,,,,,,
Full Reporter,40008,City of Charlotte North Carolina,Full Reporter,Urban,CB,PT,,,,320164,,,,,,,,,,,
Full Reporter,40008,City of Charlotte North Carolina,Full Reporter,Urban,DR,DO,,,,208686,,,,,,,,,,,
Full Reporter,40008,City of Charlotte North Carolina,Full Reporter,Urban,LR,DO,,,,,,16786660,,,,,,,,,
Full Reporter,40008,City of Charlotte North Carolina,Full Reporter,Urban,MB,PT,,,,1429303,,,,,,,,,,,
Full Reporter,40008,City of Charlotte North Carolina,Full Reporter,Urban,SR,DO,,,,,,1760,,,,,,,,,
Full Reporter,40008,City of Charlotte North Carolina,Full Reporter,Urban,VP,DO,,,,,,,,,60398,,,,,,
Full Reporter,40009,City of Fayetteville,Full Reporter,Urban,DR,DO,,,,,,,,,50186,,,,34012,,
Full Reporter,40009,City of Fayetteville,Full Reporter,Urban,MB,DO,,,,257652,,,,,20533,,,,9662,,
Full Reporter,40012,City of Winston Salem,Full Reporter,Urban,DR,DO,,,,,,,,,188054,,,,,,
Full Reporter,40012,City of Winston Salem,Full Reporter,Urban,MB,DO,,,,480075,,,,,3603,,,,,,
Full Reporter,40014,Ms Coast Transportation Authority,Full Reporter,Urban,DR,DO,,,,27937,,,,,11860,,,,4490,,
Full Reporter,40014,Ms Coast Transportation Authority,Full Reporter,Urban,MB,DO,,,,103060,,,,,,,,,,,
Full Reporter,40014,Ms Coast Transportation Authority,Full Reporter,Urban,VP,PT,,,,,,,,,25335,,,,,,
Full Reporter,40015,"City of Jackson, MS",Full Reporter,Urban,DR,PT,,,,18972,,,,,49684,,,,,,
Full Reporter,40015,"City of Jackson, MS",Full Reporter,Urban,MB,PT,,,,265018,,,,,,,,,,,
Full Reporter,40017,Lexington Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,238517,,,,,,
Full Reporter,40017,Lexington Transit Authority,Full Reporter,Urban,MB,DO,,,187543,364737,187920,,,,10636,,,,,,
Full Reporter,40017,Lexington Transit Authority,Full Reporter,Urban,VP,PT,,,,,,,,,5921,,,,,,
Full Reporter,40018,Transit Authority of River City,Full Reporter,Urban,DR,PT,,,,10282,,,,,347041,,,,,,
Full Reporter,40018,Transit Authority of River City,Full Reporter,Urban,MB,DO,,,,1456796,535223,,,,,,,,,,
Full Reporter,40018,Transit Authority of River City,Full Reporter,Urban,MB,PT,,,,5126,,,,,,,,,,,
Full Reporter,40019,Transit Authority of Northern Kentucky,Full Reporter,Urban,DR,DO,,,,51344,,,,,56000,,,,,,
Full Reporter,40019,Transit Authority of Northern Kentucky,Full Reporter,Urban,MB,DO,,,,684515,,,,,,,,,,,
Full Reporter,40021,City of Albany ,Full Reporter,Urban,DR,DO,,,17302,,,,,,1760,,,,,,
Full Reporter,40021,City of Albany ,Full Reporter,Urban,MB,DO,,,130016,39176,,,,,,,,,,,
Full Reporter,40022,Metropolitan Atlanta Rapid Transit Authority,Full Reporter,Urban,DR,PT,,,,12,,,,,1463932,,,,,,
Full Reporter,40022,Metropolitan Atlanta Rapid Transit Authority,Full Reporter,Urban,HR,DO,,,,,,83566447,,,,,,,,,
Full Reporter,40022,Metropolitan Atlanta Rapid Transit Authority,Full Reporter,Urban,MB,DO,,,5725662,2288426,,,,,,,,,,,
Full Reporter,40022,Metropolitan Atlanta Rapid Transit Authority,Full Reporter,Urban,SR,DO,,,,,,694693,,,,,,,,,
Full Reporter,40023,Augusta Richmond County Transit Department,Full Reporter,Urban,DR,PT,,,,19612,,,,,,,,,,,
Full Reporter,40023,Augusta Richmond County Transit Department,Full Reporter,Urban,MB,PT,,,,143498,,,,,,,,,,,
Full Reporter,40025,Chatham Area Transit Authority,Full Reporter,Urban,DR,DO,,,,,,,,,162431,,,,,,
Full Reporter,40025,Chatham Area Transit Authority,Full Reporter,Urban,FB,DO,,,,33395,,,,,,,,,,,
Full Reporter,40025,Chatham Area Transit Authority,Full Reporter,Urban,MB,DO,425654,,,,,,,,,,,,,,
Full Reporter,40026,Manatee County Board of County Commissioners,Full Reporter,Urban,DR,DO,,,,43119,,,,,22774,,,,,,
Full Reporter,40026,Manatee County Board of County Commissioners,Full Reporter,Urban,MB,DO,,,,320051,,,,,,,,,,,
Full Reporter,40027,Pinellas Suncoast Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,197083,,,,,,
Full Reporter,40027,Pinellas Suncoast Transit Authority,Full Reporter,Urban,MB,DO,,,,2071734,58322,,,,,,,,,,
Full Reporter,40027,Pinellas Suncoast Transit Authority,Full Reporter,Urban,MB,PT,,,,46737,,,,,38347,,,,,,
Full Reporter,40028,Lee County Transit,Full Reporter,Urban,DR,DO,,,,25573,,,,,36539,,,,233028,,
Full Reporter,40028,Lee County Transit,Full Reporter,Urban,MB,DO,,,,534466,,,,,6522,,,,,,
Full Reporter,40028,Lee County Transit,Full Reporter,Urban,VP,PT,,,,,,,,,9847,,,,,,
Full Reporter,40029,Broward County Board of County Commissioners,Full Reporter,Urban,DR,PT,,,,,,,,,370755,,,,928184,,
Full Reporter,40029,Broward County Board of County Commissioners,Full Reporter,Urban,MB,DO,,,,4518047,,,,,,,,,,,
Full Reporter,40029,Broward County Board of County Commissioners,Full Reporter,Urban,MB,PT,,,,45691,,,,,,,,,14851,,
Full Reporter,40030,"City of Gainesville, FL",Full Reporter,Urban,DR,PT,,,,,,,,,76702,,,,,,
Full Reporter,40030,"City of Gainesville, FL",Full Reporter,Urban,MB,DO,,,,844994,,,,,34102,,,,,,
Full Reporter,40030,"City of Gainesville, FL",Full Reporter,Urban,VP,PT,,,,,,,,,9059,,,,,,
Full Reporter,40031,Lakeland Area Mass Transit District ,Full Reporter,Urban,DR,DO,,,,41,,,,,99516,,,,,,
Full Reporter,40031,Lakeland Area Mass Transit District ,Full Reporter,Urban,DR,PT,,,,,,,,,7704,,,,,,
Full Reporter,40031,Lakeland Area Mass Transit District ,Full Reporter,Urban,MB,DO,,,,204659,,,,,25030,,,,,,
Full Reporter,40031,Lakeland Area Mass Transit District ,Full Reporter,Urban,MB,PT,,,,,,,,,39463,,,,,,
Full Reporter,40032,County of Volusia,Full Reporter,Urban,DR,DO,,,,9185,,,,,265344,,,,12913,,
Full Reporter,40032,County of Volusia,Full Reporter,Urban,DR,PT,,,,,,,,,36106,,,,,,
Full Reporter,40032,County of Volusia,Full Reporter,Urban,MB,DO,,,,713596,,,,,,,,,,,
